head	relation	tail	head_type	tail_type
ENSG00000282025	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000282025	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000244116	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000244116	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000239571	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000239571	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000211625	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000211625	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000282694	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000282694	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000243290	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000243290	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000129173	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000129173	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000129173	involved_in	R-HSA-3700989	Gene	Pathway
ENSG00000129173	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000071205	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000237693	annotated_with	GO:0001934	Gene	GO
ENSG00000164334	annotated_with	GO:0045893	Gene	GO
ENSG00000109205	annotated_with	GO:0010628	Gene	GO
ENSG00000109205	annotated_with	GO:0001934	Gene	GO
ENSG00000184828	annotated_with	GO:0008285	Gene	GO
ENSG00000105875	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000167987	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000222028	annotated_with	GO:0000165	Gene	GO
ENSG00000222028	involved_in	R-HSA-5683057	Gene	Pathway
ENSG00000222028	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000222028	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000222028	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000222028	involved_in	R-HSA-5684996	Gene	Pathway
ENSG00000222028	involved_in	R-HSA-5673001	Gene	Pathway
ENSG00000222028	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000222028	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000222028	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000222028	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000222028	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000222028	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000059915	annotated_with	GO:0007165	Gene	GO
ENSG00000133619	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000133619	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000133619	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000186038	annotated_with	GO:0007165	Gene	GO
ENSG00000125107	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000125107	involved_in	R-HSA-3700989	Gene	Pathway
ENSG00000125107	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000125107	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000180053	annotated_with	GO:0008284	Gene	GO
ENSG00000188522	annotated_with	GO:0007165	Gene	GO
ENSG00000185290	annotated_with	GO:0008285	Gene	GO
ENSG00000122574	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000122574	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000165895	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000134909	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000140323	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000272391	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000272391	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000178789	involved_in	R-HSA-2172127	Gene	Pathway
ENSG00000203965	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000183185	annotated_with	GO:0007165	Gene	GO
ENSG00000214357	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000214357	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000214415	involved_in	R-HSA-8939211	Gene	Pathway
ENSG00000214415	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000214415	involved_in	R-HSA-9009391	Gene	Pathway
ENSG00000214415	involved_in	R-HSA-9006931	Gene	Pathway
ENSG00000204060	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000204060	involved_in	R-HSA-2219528	Gene	Pathway
ENSG00000204060	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000204060	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000204060	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000204060	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000204060	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000204060	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000204060	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000284068	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000185467	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000227268	annotated_with	GO:0007050	Gene	GO
ENSG00000283059	annotated_with	GO:0007050	Gene	GO
ENSG00000066933	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000235268	annotated_with	GO:0006338	Gene	GO
ENSG00000238227	annotated_with	GO:0008284	Gene	GO
ENSG00000068796	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000118515	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000118515	involved_in	R-HSA-6806003	Gene	Pathway
ENSG00000118515	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000118515	involved_in	R-HSA-5633007	Gene	Pathway
ENSG00000118515	involved_in	R-HSA-3700989	Gene	Pathway
ENSG00000118515	involved_in	R-HSA-9006934	Gene	Pathway
ENSG00000118515	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000118515	involved_in	R-HSA-166520	Gene	Pathway
ENSG00000118515	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000118515	involved_in	R-HSA-6804757	Gene	Pathway
ENSG00000118515	involved_in	R-HSA-187037	Gene	Pathway
ENSG00000123136	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000123136	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000170128	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000170128	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000197879	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000197879	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000092531	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000143575	annotated_with	GO:0051897	Gene	GO
ENSG00000064655	involved_in	R-HSA-5693532	Gene	Pathway
ENSG00000266964	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000106178	annotated_with	GO:0007165	Gene	GO
ENSG00000100226	annotated_with	GO:0007165	Gene	GO
ENSG00000168961	annotated_with	GO:0010628	Gene	GO
ENSG00000132842	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000132842	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000088002	annotated_with	GO:0008285	Gene	GO
ENSG00000136869	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000136869	annotated_with	GO:0010628	Gene	GO
ENSG00000173156	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000166313	annotated_with	GO:0007050	Gene	GO
ENSG00000166313	involved_in	R-HSA-5693532	Gene	Pathway
ENSG00000166313	annotated_with	GO:0045893	Gene	GO
ENSG00000166313	annotated_with	GO:0007165	Gene	GO
ENSG00000103044	annotated_with	GO:0045893	Gene	GO
ENSG00000104689	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000104689	annotated_with	GO:0007165	Gene	GO
ENSG00000104689	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000104689	involved_in	R-HSA-3700989	Gene	Pathway
ENSG00000104689	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000104689	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000179603	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000241563	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000108671	annotated_with	GO:0000165	Gene	GO
ENSG00000108671	involved_in	R-HSA-5683057	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-5684996	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-5673001	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000108671	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000197170	annotated_with	GO:0000165	Gene	GO
ENSG00000197170	involved_in	R-HSA-5683057	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000197170	involved_in	R-HSA-5684996	Gene	Pathway
