gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000128973	0.032382973	-0.08084888	0.14601041	-0.11355148	-0.24763903	-0.17826083	-0.050496824	0.06107518	-0.14437662	0.12042209	-0.1513548	0.097847015	0.34095892	-0.09902361	0.05711454	-0.17704502	0.12668449	0.22171849	-0.08135666	-0.15469489	-0.050206177	0.12048745	-0.24073663	-0.074222594	-0.047158808	-0.101651184	-0.16373304	-0.19330367	0.21884061	-0.17211896	0.024024261	0.11457912	-0.22963908	-0.11012513	0.1436149	0.2413642	-0.1337459	0.09411826	-0.19777869	0.01370376	0.0010821377	-0.11702663	-0.12873809	-0.028330984	0.27130622	0.012184178	-0.08958189	-0.09005531	-0.02415941	-0.004202448	-0.016456114	0.038197488	0.024398383	0.052808795	-0.16240023	0.16657203	-0.10286199	0.29534343	0.09933437	-0.0016679829	0.00011726841	0.2677187	0.14598341	0.01807642
ENSG00000073910	0.27547508	0.25609934	-0.3061013	-0.14093429	-0.08964299	-0.35034165	0.09322109	-0.15857522	0.018978965	-0.24186367	0.10864176	-0.23601316	-0.27717903	-0.10982274	0.021750662	0.018302243	0.27678487	0.102765635	-0.300628	0.16550672	-0.18417238	-0.15846686	0.16052957	0.34829572	0.0028456738	-0.12811515	-0.098459676	-0.26351696	-0.018022193	-0.1791281	-0.20267989	0.15283068	-0.08553243	0.13841672	-0.150983	0.5181069	-0.20039473	0.06416693	-0.12840858	-0.32953405	0.36235672	0.15543634	0.2367745	0.12883462	-0.012348028	-0.33570403	-0.075887576	0.06954612	0.20811376	0.025425583	0.3052349	-0.021088477	-0.36203656	-0.25032157	0.16592441	0.057755396	-0.11407679	0.111510776	-0.08177597	0.45551047	0.069871575	-0.24816348	-0.0141849965	0.2160865
ENSG00000141384	0.080769725	-0.05706901	-0.015547418	0.0010253619	-0.023702007	-0.039703563	0.10803571	-0.03033325	-0.027411737	0.11573461	-0.13953777	-0.056771327	-0.07820096	0.0035293475	-0.042874087	-0.1366887	0.015296474	0.04491542	-0.046246395	-0.022388414	-0.04820285	-0.15195586	-0.04813472	-0.009368771	-0.012750717	8.457177e-05	-0.1518149	0.10228242	0.14159353	-0.13351782	0.08025081	0.08378154	-0.072147876	0.06704653	-0.01040737	0.024561778	-0.02037769	0.04934246	-0.008437701	-0.0018371297	0.00710176	-0.13237116	0.055010106	0.036376372	0.16677868	-0.041885555	0.0021457598	0.10882045	-0.031498738	-0.08999352	0.11621171	-0.021863364	0.059901115	0.04500161	0.021208823	0.12395227	0.019275445	0.083086364	0.028861063	-0.011584756	-0.007942736	-0.026647527	0.079249226	0.058146186
ENSG00000197558	-0.0014945678	0.0010657263	0.009067864	0.011566494	-0.022892227	-0.008104568	0.06021323	0.016298197	0.0003435379	0.035677817	-0.013372976	0.09350695	-0.029600197	-0.022282152	0.012166101	0.011400983	0.047434576	-0.06373165	-0.08043902	-0.030981094	-0.11210848	-0.023187988	0.022193909	-0.010672579	-0.054820403	-0.00395976	-0.017461907	0.07182269	0.051149003	0.021548241	0.077359475	0.026649687	-0.0058540283	-0.05627504	-0.03639019	0.0044534504	-0.094153464	-0.045080252	0.017197035	-0.029375695	0.06903567	-0.08076443	-0.017258778	0.029809983	-0.009749385	0.07834679	-0.045989424	0.09633576	-0.04701102	-0.036422763	0.091641985	0.065626845	-0.027119946	0.008598444	0.123298794	0.008902783	0.090499364	0.046634685	-0.037452124	-0.08685823	0.028068006	0.020703703	-0.06623251	-0.076948255
ENSG00000141639	0.09775092	-0.043039016	-0.08806951	-0.101153485	-0.1714108	-0.017196706	-0.051874906	0.016926639	-0.024316004	-0.09695628	-0.2241854	-0.13416006	0.041310996	-0.013876347	0.0071967496	-0.11585896	0.09449842	0.074923486	-0.0043614265	0.06881477	0.042278968	0.1011711	0.01857546	-0.01953588	0.051815756	0.018258037	0.11543355	0.0140632745	0.010251498	-0.05319685	0.034259684	0.091568545	-0.060578756	-0.10481409	0.09798832	0.060831446	-0.2438211	0.011042887	0.007715579	-0.043106217	-0.035922173	-0.031652577	0.0048327735	-0.06326481	0.11795595	0.16080305	-0.1054866	-0.012382427	0.14542714	-0.07174657	0.059636675	0.010166965	-0.0221476	0.071508005	0.08592479	-0.0045631984	0.08472358	0.0059007956	-0.005537476	-0.15843214	-0.07328173	0.21679038	-0.23004676	0.036148354
ENSG00000228520	0.16752371	-0.04906397	0.1588488	0.038571913	-0.0064194975	-0.027535377	-0.022975469	-0.06898707	-0.26527452	-0.14639689	0.22292997	-0.036130313	0.034827106	-0.009394376	0.050301373	-0.034533996	0.107190125	-0.08461229	0.027397351	-0.037544202	0.098742194	-0.007873676	-0.049997456	-0.0037755277	-0.10899517	0.0050922446	-0.14099307	-0.12872049	-0.051210508	-0.033684876	-0.10364219	0.0039484957	0.04751463	-0.08098333	-0.026885193	0.046144314	-0.13982587	0.05361363	-0.11974257	-0.038705695	-0.029890215	0.008384258	0.03500205	-0.014179926	-0.0024577957	-0.06832191	-0.010780231	-0.02424341	-0.0800521	-0.1347079	-0.17952363	0.022400543	-0.026748234	-0.07272562	-0.10782887	-0.22700736	-0.11046971	0.21560147	0.14113852	-0.0478861	-0.1139025	-0.003316069	-0.09698019	-0.12163416
ENSG00000124126	0.109973446	-0.109434195	-0.0744932	0.07621037	0.037102133	-0.04549446	0.072873384	0.029570177	-0.0056463336	-0.17187773	-0.08138242	-0.04797719	-0.09977264	0.076925956	-0.04595621	0.022159636	-0.04225239	-0.15874949	0.10489194	0.0017059408	-0.038978532	-0.11612886	0.13710134	0.044930898	-0.011273889	-0.12614234	0.008854015	-0.09439198	-0.014966195	-0.031028433	0.03912931	0.08858194	0.099083215	-0.020051181	-0.004156776	0.12614109	-0.025141135	0.0028114915	0.047163762	0.06719776	-0.0839315	-0.16900226	0.058464307	0.011272067	0.016601542	0.073865086	0.07265094	0.035632715	-0.041972823	-0.18084426	0.010113357	-0.04328971	-0.121759534	0.045406662	0.098303184	-0.110467725	-0.02853677	-0.042427618	-0.050953194	-0.082517415	-0.087595254	0.06383068	-0.11822589	0.14664438
ENSG00000125931	0.0863852	-0.028282238	-0.076426834	-0.045327384	-0.06486535	0.016759813	0.009940485	-0.02766034	-0.08244945	-0.015808845	-0.060381748	0.045789305	0.009698609	0.042966954	0.021848887	-0.063302375	-0.0135541195	-0.028568408	0.0015770514	-0.020566255	0.0728418	-0.0032692095	-0.05494275	-0.0022975458	0.04238929	0.012602905	-0.07250971	0.058844805	0.0698291	-0.0038226303	0.004870992	0.07526151	0.045820665	-0.026139645	0.034782335	-0.01513809	-0.15408668	0.06294432	0.020548113	-0.012895001	-0.06658359	-0.14125228	0.09575196	-0.035825707	0.06700297	-0.0054298984	-0.027231926	0.04265441	0.048475794	-0.10860812	-0.017325869	-0.05963604	-0.107858524	0.008643987	0.0429504	0.06157933	0.011657717	0.029650811	-0.0007326887	-0.03892035	0.10112891	0.08724293	0.012708356	0.0137333395
ENSG00000203737	-0.17084524	0.0658393	-0.007360154	-0.028774232	-0.31783777	-0.050159648	0.07136665	-0.12899299	-0.32297185	-0.07651768	0.020474933	0.18974088	0.26252615	-0.182063	0.025407247	-0.05967353	0.105267785	-0.00627987	-0.21581613	-0.00024139881	-0.1936892	0.13241385	-0.009744585	-0.41536522	-0.3470003	0.11284082	-0.0077916887	-0.11111986	0.1899662	-0.04226458	0.17130846	0.07528582	-0.011678626	-0.0358543	0.0032609198	0.2047565	-0.59830195	-0.21302998	0.0022628661	0.082151674	0.18535323	-0.118065156	0.17827946	0.16072004	-0.22043939	0.17056575	-0.3302325	-0.1488356	-0.115620546	0.15946044	-0.103690416	0.019426074	-0.3096502	-0.0056248554	0.049201153	0.08671951	0.022078166	0.3571431	-0.14662075	-0.1423281	0.06363084	0.20556583	-0.14714558	-0.23425679
ENSG00000101115	-0.24874529	0.015266082	-0.0066090906	-0.41208786	-0.06364642	0.5195602	0.08897237	0.42092925	-0.047359955	0.03866166	-0.14175129	0.15338321	0.39250398	-0.26516208	0.07482007	-0.56061107	-0.035715077	-0.122407675	0.41327283	-0.14566764	0.046054423	-0.09266769	-0.22715594	0.111607894	0.2979192	-0.1344748	0.30658564	-0.086393654	0.091800146	-0.10724202	-0.16708343	-0.010940402	-0.2888573	0.15893535	-0.2300041	-0.14660315	-0.30555063	0.15755442	0.08232745	0.124440014	0.189704	-0.6434327	-0.19062744	-0.19444235	0.33781192	-0.27689505	0.0036560334	0.48949516	0.158138	-0.21710335	-0.2666176	0.026479863	0.12419674	-0.09687725	0.74111754	-0.42519042	-0.2127442	-0.5261701	0.106761456	-0.48851177	0.16579792	-0.48426002	-0.652856	-0.12233334
