gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000154928	0.008449085	-0.02657475	0.049275056	0.07433368	-0.09420122	0.01137656	-0.01933342	0.054836527	-0.09474716	0.040684752	0.12873265	0.1114407	-0.06581671	0.042760022	-0.041033812	0.12532204	-0.10646807	0.15262467	-0.07013929	0.039830793	-0.11843352	0.078307584	0.044418633	-0.16533674	0.07975061	-0.014169797	-0.0065148724	-0.1242174	0.13504907	0.1874708	-0.026016226	-0.050121173	0.07231148	-0.16645674	0.082403064	0.076561846	0.022319987	0.02903669	-0.07510181	0.108764455	0.055654142	-0.059401922	-0.010337101	-0.011695427	-0.076057196	-0.08719207	0.0514954	-0.096229285	-0.004233336	-0.09253136	-0.053366534	0.015151734	0.17104824	0.049597953	0.115286335	-0.014450989	0.08246461	-0.09131998	-0.020779347	0.0016671866	-0.04420895	-0.108226225	-0.07464061	-0.058734607
ENSG00000110987	0.21221954	0.15661016	-0.22384536	0.09334685	0.16946715	0.020888565	0.33657587	-0.043227393	0.15157184	-0.07422455	-0.035584144	0.2264918	0.11226731	-0.19094977	-0.1289283	0.11549734	-0.06892146	-0.09814609	0.3052711	0.190542	-0.28444347	-0.19007894	0.05191665	0.3338033	0.054201588	-0.12704276	0.18616325	-0.06742141	-0.27134627	0.25760886	-0.32179144	0.2434012	0.0897577	0.17398828	0.1229732	0.10987249	0.10606168	0.26076305	0.069898784	0.22233334	0.08176558	-0.1680178	-0.22621135	-0.016733155	-0.14922543	-0.30174133	0.35062823	0.11163148	-0.050861023	0.086681604	-0.05195849	0.17372383	0.08909129	0.23838988	0.20092356	-0.010064883	-0.13418955	-0.35038862	0.2121388	0.224054	0.020869298	-0.004124265	-0.07818833	0.36769262
ENSG00000182985	-0.18406187	0.21244463	0.2879446	-0.14134921	-0.23999092	-0.007342047	0.012743376	0.07954553	-0.06537686	-0.03114328	0.14120753	0.22220956	0.1711581	-0.17600223	0.2383246	0.029173145	0.35367432	0.28718588	0.09772905	0.14083725	-0.12278237	0.08354624	-0.046061255	-0.14093435	0.072984666	0.012748875	0.025786325	-0.000984773	-0.12489155	0.26358917	-0.35262114	-0.37577078	-0.18874598	-0.17391844	0.32923457	-0.15013868	-0.014575045	-0.074427515	-0.1816427	-0.005787803	0.26466	-0.5310182	0.025572646	0.1450537	-0.08510819	-0.17913762	0.14429222	-0.013095597	-0.24251232	-0.21222444	-0.09775296	0.11846082	0.17479378	-0.05113306	-0.006314039	0.089298286	-0.00944689	-0.20723158	-0.040130936	0.0072671454	0.24791187	-0.10144735	-0.310365	0.20594217
ENSG00000075945	0.21200648	-0.069480106	-0.043477245	0.08161886	-0.10026519	0.14665762	0.26727968	-0.13075818	0.10515665	0.05764536	0.15913177	-0.015650773	0.08879138	-0.06795828	0.3057067	-0.015248565	-0.15582255	0.07047365	-0.08154006	0.020269781	0.055152167	0.0036424985	0.03828069	0.019143358	-0.02492309	-0.32597053	0.3249698	-0.045211796	0.070287324	0.16947185	0.1337918	0.027208827	-0.06272554	-0.22811475	0.016823053	0.15647002	-0.0731205	-0.1445989	-0.13530883	0.09207992	-0.10767914	-0.045612354	0.008101549	-0.13072245	-0.012065792	-0.17701949	-0.07369773	0.055927817	-0.2756475	0.07661008	-0.13708517	-0.029797673	0.21455912	0.11304111	0.11567096	0.036946397	-0.17995761	-0.12178396	-0.054611273	0.12549208	-0.24554765	0.15812027	-0.17732644	0.13064028
ENSG00000105697	-0.052661173	-0.048288777	-0.12140469	0.20502146	-0.414193	-0.15633461	-0.04430866	0.1720583	-0.23584308	0.12302335	-0.092860855	0.0019154968	-0.005409579	0.25168365	0.13223611	-0.27760935	0.113263614	-0.10207988	-0.00927535	0.20888779	-0.11175225	-0.09129325	0.016711164	0.012235212	0.095777944	0.19317958	0.026345111	-0.07983215	0.12917672	0.0891473	-0.048807584	-0.10217249	-0.23312216	0.083892435	-0.00786929	-0.0025077965	0.26395744	0.1703679	0.1795161	0.34602913	-0.26742584	-0.09768151	-0.33306766	-0.34507	0.08901817	-0.10999414	-0.5708373	-0.29138157	0.36135188	0.44207147	0.109323196	0.03167865	-0.093323775	0.07408826	0.25915238	0.082554735	-0.048033196	-0.22272182	0.0071355943	-0.09452188	-0.12188137	0.03232931	-0.019587837	-0.022967555
ENSG00000203786	-0.12395428	0.13161102	0.2453732	-0.17393905	-0.095165156	0.2451048	-0.23755376	-0.13371518	0.13062501	-0.15144788	-0.19004558	0.099182665	0.054699853	-0.19701822	0.18092103	0.1121468	-0.16005734	0.28166515	-0.07257402	0.050867364	-0.012974153	0.14909628	0.19989038	-0.02239462	0.03797524	-0.008063987	0.054263175	-0.13918251	-0.017193686	0.048811324	-0.22055948	0.07317439	-0.2915617	-0.22489806	0.21311367	0.0039326707	-0.17900309	-0.25864813	-0.24321924	-0.03647379	-0.007665529	-0.22061443	0.042198543	0.10646405	-0.25896934	-0.048198402	0.08523407	-0.06011642	-0.24318603	-0.22629201	-0.17057571	-0.07176627	-0.1655165	-0.08651374	0.032601304	-0.110934064	0.02644987	-0.030286377	-0.12258354	-0.05001769	-0.15089765	-0.03278967	-0.23199248	-0.04691866
ENSG00000213512	0.009177988	-0.17014089	-0.038177066	0.055874705	0.014598416	0.051181287	0.10520924	0.011814428	0.08456854	0.11432574	0.09130567	-0.0756887	-0.07332402	0.019856304	0.08860632	-0.13930161	-0.07605848	0.020067558	0.09026101	-0.12707773	0.052420292	0.04027448	-0.08072496	-0.035016034	0.047049962	0.0627021	0.04241482	-0.11433904	0.037764538	-0.1440937	0.010331919	0.056240972	0.04977037	0.01304815	-0.03099497	-0.102816746	-0.074037604	-0.08031967	-0.020228626	0.13749833	-0.050514676	0.08039851	-0.10822077	0.036299612	0.0105720125	0.020668793	0.05466132	0.04212499	0.06049025	-0.11670304	0.07182949	0.12387532	0.00931201	0.045495246	0.018809486	-0.13208853	0.020294596	0.0026046461	-0.1034378	-0.030883532	-0.055796407	0.023264553	-0.14147605	0.07892577
ENSG00000136710	0.18444094	0.1271369	0.14820062	0.12781364	-0.26052034	0.19986795	0.1118546	0.025772166	-0.13688995	0.11380217	0.112033166	0.1220078	-0.0616398	-0.20623109	0.16889895	0.027521932	-0.1767866	0.10651492	-0.045457482	0.056518137	0.203578	0.011483295	0.08582935	0.18315886	0.05362622	-0.014289971	0.13229924	-0.028498068	0.04818985	-0.067604825	0.055827282	0.12895237	0.0399893	-0.252035	-0.010515144	0.07801164	-0.047011692	-0.18538696	0.083223805	0.035475597	-0.1620161	-0.12865627	0.14659461	0.20771244	0.021726338	0.04574556	-0.043339718	0.20005643	-0.09337329	-0.007709185	0.054622762	0.061840925	0.31391302	0.13371147	0.22120047	-0.1870174	0.070743635	0.086821936	-0.047766052	0.028857281	0.028172022	-0.15448552	0.07237096	0.11610012
ENSG00000167004	0.14998682	0.015471281	0.012182116	0.371423	-0.17486176	-0.048625253	0.31603816	-0.015367146	0.16270277	-0.101060286	-0.14217032	0.09411978	0.16680643	-0.09963563	0.0663189	0.013127556	0.079621606	0.05475084	-0.24032748	-0.14806317	-0.09763434	-0.07311342	0.3080814	0.04164424	0.18304536	0.057609417	0.12983707	0.14331856	-0.12225865	0.06845353	0.2624028	0.07783817	-0.03598047	-0.1058003	0.039127383	0.06604749	-0.005337204	-0.1589635	-0.036294818	0.17612274	-0.13412084	-0.089264795	-0.056418266	-0.1741349	-0.17504176	-0.18334258	-0.3859058	0.11860757	-0.03628581	0.22056621	0.055475943	-0.09334627	0.09067259	-0.16325012	0.05596693	0.007179416	-0.008721397	0.11308572	0.22341599	-0.03741845	0.009201584	-0.014743773	0.046213925	-0.017526057
ENSG00000204941	-0.06185418	-0.114617296	0.10082413	-0.00955252	-0.10842267	-0.08886047	0.10172607	0.2947635	0.31388167	0.19390231	0.027446382	-0.008289857	0.01325101	-0.184906	0.47890022	-0.120456666	-0.16947357	-0.03761046	-0.14473039	-0.04417277	0.13123406	0.048761576	-0.035973802	-0.17506121	0.10583544	0.14968316	0.10080018	0.052048728	0.04890052	0.2016161	-0.007769348	-0.078314744	-0.14193404	0.14974068	0.116996236	-0.08311408	-0.04723212	0.16107042	-0.101544425	-0.1354645	0.07205033	0.08585071	0.08142269	-0.23356777	0.043286353	-0.08448315	-0.2583091	0.06131399	0.057209402	0.08877626	0.27454683	0.13526951	0.072004214	-0.10814768	-0.02773443	0.2177474	-0.27719936	0.14231351	0.10760978	-0.008954283	0.013342356	0.04479806	-0.02594253	0.09690275
ENSG00000132915	0.022841131	-0.2771499	0.20010984	0.1408036	-0.40890527	0.007067029	0.09146869	0.4051339	-0.25954527	0.29088235	0.006897319	0.1195492	-0.06843641	-0.17703752	0.010010655	0.005674118	0.006479104	-0.14198038	-0.018571485	0.22598794	0.2222167	0.24840271	-0.0073002204	-0.07380828	0.19675858	0.2802244	0.35076207	-0.14800295	-0.15688112	0.0048956964	0.13954423	-0.071191534	-0.041908786	-0.33883923	-0.17785501	-0.11785608	-0.023724038	0.032399796	0.12011499	0.25336272	-0.004577807	-0.19375588	-0.1669492	-0.3623782	-0.32813123	-0.36389378	-0.21441181	0.31933892	0.30206215	0.34908786	0.10478947	0.35835353	0.21797681	-0.08360735	0.32045293	0.033206996	-0.18278527	-0.04037106	0.24130984	-0.1043949	-0.11478466	0.11374451	0.076264195	0.2848226
ENSG00000124171	-0.005814651	-0.09030738	-0.11505041	0.06953921	-0.06463731	0.18449003	-0.13683325	-0.2919539	0.020765489	0.009178249	0.17581867	0.0024344828	0.03767785	0.15143749	0.1734209	-0.012569869	-0.33014676	0.18108687	-0.10875668	0.033705465	0.06836594	0.09859795	-0.05718091	0.22847034	-0.008528513	-0.05690609	-0.06569005	-0.106217846	-0.17017283	0.08375419	-0.022669045	0.1519425	0.08386191	0.02149218	0.084547564	-0.07821328	-0.038970266	-0.12215713	0.013279672	-0.10681243	-0.19580832	0.12530288	-0.029932667	0.07214997	0.23133197	-0.12112331	-0.24269462	0.027938357	-0.06820479	0.062324457	-0.0033745435	0.03234959	0.18490364	0.07260353	0.035475843	-0.15761544	0.099932045	0.031064456	0.018558169	0.23264304	-0.024325307	0.14405134	0.066048704	0.049454954
