u	v	weight
ENSG00000128591	ENSG00000154229	0.7803210616111755
ENSG00000128591	ENSG00000119777	0.7785355448722839
ENSG00000128591	ENSG00000109971	0.7686152458190918
ENSG00000128591	ENSG00000274081	0.7645371556282043
ENSG00000128591	ENSG00000182568	0.7357386946678162
ENSG00000128591	ENSG00000185379	0.7334632873535156
ENSG00000128591	ENSG00000035403	0.7329519391059875
ENSG00000128591	ENSG00000101421	0.7318671345710754
ENSG00000128591	ENSG00000050820	0.731213390827179
ENSG00000128591	ENSG00000183010	0.7299391627311707
ENSG00000149292	ENSG00000118503	0.5346049666404724
ENSG00000149292	ENSG00000151338	0.49305105209350586
ENSG00000149292	ENSG00000144395	0.4869087040424347
ENSG00000149292	ENSG00000174564	0.47046807408332825
ENSG00000149292	ENSG00000149218	0.45596376061439514
ENSG00000149292	ENSG00000136274	0.45520320534706116
ENSG00000149292	ENSG00000100949	0.45310381054878235
ENSG00000149292	ENSG00000149357	0.44665855169296265
ENSG00000149292	ENSG00000115008	0.44362786412239075
ENSG00000149292	ENSG00000118137	0.43935951590538025
ENSG00000168288	ENSG00000184451	0.7042474746704102
ENSG00000168288	ENSG00000133636	0.6762100458145142
ENSG00000168288	ENSG00000143536	0.6648246645927429
ENSG00000168288	ENSG00000142082	0.6647019386291504
ENSG00000168288	ENSG00000288474	0.6646215319633484
ENSG00000168288	ENSG00000162613	0.6628026962280273
ENSG00000168288	ENSG00000108702	0.6511632204055786
ENSG00000168288	ENSG00000213809	0.6498463153839111
ENSG00000168288	ENSG00000121903	0.649674654006958
ENSG00000168288	ENSG00000229432	0.6454428434371948
ENSG00000085063	ENSG00000139372	0.712428629398346
ENSG00000085063	ENSG00000196141	0.6901051998138428
ENSG00000085063	ENSG00000180667	0.683999240398407
ENSG00000085063	ENSG00000178999	0.680973470211029
ENSG00000085063	ENSG00000107537	0.6569859981536865
ENSG00000085063	ENSG00000131910	0.6550993323326111
ENSG00000085063	ENSG00000274429	0.6498743295669556
ENSG00000085063	ENSG00000067182	0.6497560143470764
ENSG00000085063	ENSG00000100393	0.6489976644515991
ENSG00000085063	ENSG00000163435	0.6487228274345398
ENSG00000188313	ENSG00000140553	0.831045925617218
ENSG00000188313	ENSG00000177542	0.8183005452156067
