u	v	weight
ENSG00000154928	ENSG00000107099	0.8477821350097656
ENSG00000154928	ENSG00000177169	0.834492564201355
ENSG00000154928	ENSG00000153071	0.8286562561988831
ENSG00000154928	ENSG00000082516	0.8174421787261963
ENSG00000154928	ENSG00000144848	0.8144410848617554
ENSG00000154928	ENSG00000131778	0.8117778301239014
ENSG00000154928	ENSG00000135837	0.8111187815666199
ENSG00000154928	ENSG00000150457	0.8108545541763306
ENSG00000154928	ENSG00000013588	0.807443380355835
ENSG00000154928	ENSG00000180353	0.8066138029098511
ENSG00000110987	ENSG00000141002	0.6875432729721069
ENSG00000110987	ENSG00000145536	0.6696140170097351
ENSG00000110987	ENSG00000282627	0.6340040564537048
ENSG00000110987	ENSG00000267467	0.6303131580352783
ENSG00000110987	ENSG00000141551	0.6248802542686462
ENSG00000110987	ENSG00000169515	0.61285799741745
ENSG00000110987	ENSG00000134602	0.6097913384437561
ENSG00000110987	ENSG00000204304	0.5821356177330017
ENSG00000110987	ENSG00000274768	0.578938364982605
ENSG00000110987	ENSG00000196154	0.5727327466011047
ENSG00000182985	ENSG00000025039	0.7202888131141663
ENSG00000182985	ENSG00000172301	0.645398736000061
ENSG00000182985	ENSG00000064545	0.5905654430389404
ENSG00000182985	ENSG00000163154	0.5904080271720886
ENSG00000182985	ENSG00000171773	0.572685718536377
ENSG00000182985	ENSG00000283030	0.5693103671073914
ENSG00000182985	ENSG00000187210	0.568318784236908
ENSG00000182985	ENSG00000121671	0.5587311387062073
ENSG00000182985	ENSG00000171916	0.5556179285049438
ENSG00000182985	ENSG00000282046	0.5520426034927368
ENSG00000075945	ENSG00000114491	0.8591513633728027
ENSG00000075945	ENSG00000188739	0.8507282733917236
ENSG00000075945	ENSG00000136878	0.7734610438346863
ENSG00000075945	ENSG00000122224	0.7716163396835327
ENSG00000075945	ENSG00000101557	0.7640431523323059
ENSG00000075945	ENSG00000125743	0.7622750401496887
ENSG00000075945	ENSG00000089248	0.7516315579414368
ENSG00000075945	ENSG00000127554	0.7510857582092285
ENSG00000075945	ENSG00000164897	0.7470743060112
ENSG00000075945	ENSG00000145779	0.7458553314208984
ENSG00000203786	ENSG00000156650	0.6473800539970398
ENSG00000203786	ENSG00000284290	0.6434094309806824
ENSG00000203786	ENSG00000162396	0.64278244972229
ENSG00000203786	ENSG00000094631	0.6197997331619263
ENSG00000203786	ENSG00000133065	0.6182219982147217
ENSG00000203786	ENSG00000100364	0.6151132583618164
ENSG00000203786	ENSG00000167995	0.6116085648536682
ENSG00000203786	ENSG00000107338	0.6095669269561768
ENSG00000203786	ENSG00000136699	0.6088757514953613
ENSG00000203786	ENSG00000105483	0.5983059406280518
ENSG00000136710	ENSG00000197249	0.7954351305961609
ENSG00000136710	ENSG00000106367	0.789371132850647
ENSG00000136710	ENSG00000136436	0.779988169670105
ENSG00000136710	ENSG00000120899	0.7575544118881226
ENSG00000136710	ENSG00000179912	0.7550079822540283
ENSG00000136710	ENSG00000174791	0.7457298636436462
ENSG00000136710	ENSG00000163527	0.741320788860321
ENSG00000136710	ENSG00000105971	0.7402246594429016
ENSG00000136710	ENSG00000196616	0.7376037240028381
ENSG00000136710	ENSG00000085117	0.730199933052063
ENSG00000167004	ENSG00000155850	0.785673975944519
ENSG00000167004	ENSG00000172380	0.7107561826705933
ENSG00000167004	ENSG00000076108	0.6518445014953613
ENSG00000167004	ENSG00000186654	0.6407887935638428
ENSG00000167004	ENSG00000137273	0.6359127759933472
ENSG00000167004	ENSG00000168517	0.6338915824890137
ENSG00000167004	ENSG00000155636	0.6264222860336304
ENSG00000167004	ENSG00000115364	0.6231372952461243
ENSG00000167004	ENSG00000244005	0.615005373954773
ENSG00000167004	ENSG00000241186	0.6134021878242493
ENSG00000204941	ENSG00000102230	0.7348051071166992
ENSG00000204941	ENSG00000070018	0.6935442090034485
ENSG00000204941	ENSG00000076864	0.6156542897224426
ENSG00000204941	ENSG00000115234	0.5967749953269958
ENSG00000204941	ENSG00000261986	0.5964224934577942
ENSG00000204941	ENSG00000133398	0.5861055850982666
ENSG00000204941	ENSG00000012171	0.5816403031349182
ENSG00000204941	ENSG00000205659	0.5767548680305481
ENSG00000204941	ENSG00000124523	0.573521077632904
ENSG00000204941	ENSG00000285109	0.5726650953292847
ENSG00000132915	ENSG00000196268	0.8165394067764282
ENSG00000132915	ENSG00000103671	0.7438343167304993
ENSG00000132915	ENSG00000261857	0.7354574203491211
ENSG00000132915	ENSG00000081985	0.7154933214187622
