u	v	weight
ENSG00000154928	ENSG00000106484	0.8673295974731445
ENSG00000154928	ENSG00000126067	0.8340292572975159
ENSG00000154928	ENSG00000080031	0.8324868083000183
ENSG00000154928	ENSG00000174032	0.8227920532226562
ENSG00000154928	ENSG00000111057	0.8210450410842896
ENSG00000154928	ENSG00000173482	0.810226321220398
ENSG00000154928	ENSG00000141738	0.8097413778305054
ENSG00000154928	ENSG00000135655	0.802996814250946
ENSG00000154928	ENSG00000178568	0.8026729226112366
ENSG00000154928	ENSG00000171105	0.801891028881073
ENSG00000110987	ENSG00000198742	0.6882738471031189
ENSG00000110987	ENSG00000237103	0.6421846747398376
ENSG00000110987	ENSG00000275970	0.6350038051605225
ENSG00000110987	ENSG00000283790	0.6302998661994934
ENSG00000110987	ENSG00000130724	0.6168931722640991
ENSG00000110987	ENSG00000232280	0.6158597469329834
ENSG00000110987	ENSG00000105929	0.6119678616523743
ENSG00000110987	ENSG00000230705	0.6083093285560608
ENSG00000110987	ENSG00000070731	0.6075674891471863
ENSG00000110987	ENSG00000186684	0.6039090752601624
ENSG00000182985	ENSG00000117713	0.8178033232688904
ENSG00000182985	ENSG00000102606	0.7952401638031006
ENSG00000182985	ENSG00000064601	0.7779731750488281
ENSG00000182985	ENSG00000134900	0.7744675874710083
ENSG00000182985	ENSG00000116874	0.765400767326355
ENSG00000182985	ENSG00000189058	0.7570992112159729
ENSG00000182985	ENSG00000122705	0.7542902827262878
ENSG00000182985	ENSG00000004487	0.7475152611732483
ENSG00000182985	ENSG00000151623	0.7432023882865906
ENSG00000182985	ENSG00000149308	0.7409294247627258
ENSG00000075945	ENSG00000109814	0.7770453095436096
ENSG00000075945	ENSG00000091136	0.7671668529510498
ENSG00000075945	ENSG00000188342	0.7623985409736633
ENSG00000075945	ENSG00000175197	0.7556003928184509
ENSG00000075945	ENSG00000162408	0.7426632642745972
ENSG00000075945	ENSG00000166501	0.7409535050392151
ENSG00000075945	ENSG00000196353	0.7403546571731567
ENSG00000075945	ENSG00000105676	0.7277740240097046
ENSG00000075945	ENSG00000142039	0.7234520316123962
ENSG00000075945	ENSG00000174799	0.71663898229599
ENSG00000105697	ENSG00000180596	0.6958722472190857
ENSG00000105697	ENSG00000267680	0.6100437045097351
ENSG00000105697	ENSG00000138604	0.5935232043266296
ENSG00000105697	ENSG00000162227	0.5848004221916199
ENSG00000105697	ENSG00000107864	0.5831706523895264
ENSG00000105697	ENSG00000188389	0.5805417895317078
ENSG00000105697	ENSG00000198146	0.5785913467407227
ENSG00000105697	ENSG00000185278	0.5752170085906982
ENSG00000105697	ENSG00000160097	0.5749227404594421
ENSG00000105697	ENSG00000157388	0.572864294052124
ENSG00000203786	ENSG00000089127	0.7472578883171082
ENSG00000203786	ENSG00000127191	0.7379059195518494
ENSG00000203786	ENSG00000100644	0.7237831354141235
ENSG00000203786	ENSG00000121621	0.7176315188407898
ENSG00000203786	ENSG00000160392	0.7129451036453247
ENSG00000203786	ENSG00000175550	0.7117973566055298
ENSG00000203786	ENSG00000064961	0.709485650062561
ENSG00000203786	ENSG00000112242	0.7070198655128479
ENSG00000203786	ENSG00000110080	0.7054161429405212
ENSG00000203786	ENSG00000075826	0.6993370056152344
ENSG00000213512	ENSG00000138448	0.7852129340171814
ENSG00000213512	ENSG00000131711	0.7707343697547913
ENSG00000213512	ENSG00000130985	0.7521725296974182
ENSG00000213512	ENSG00000134107	0.7486328482627869
ENSG00000213512	ENSG00000106178	0.7428014874458313
ENSG00000213512	ENSG00000125968	0.7374318242073059
ENSG00000213512	ENSG00000157404	0.7206816077232361
ENSG00000213512	ENSG00000262635	0.7186911702156067
ENSG00000213512	ENSG00000189266	0.7153750061988831
ENSG00000213512	ENSG00000137486	0.697738528251648
ENSG00000136710	ENSG00000283068	0.6867322325706482
ENSG00000136710	ENSG00000275644	0.6828051209449768
ENSG00000136710	ENSG00000116044	0.680876612663269
ENSG00000136710	ENSG00000283201	0.6660162806510925
ENSG00000136710	ENSG00000141294	0.6433074474334717
ENSG00000136710	ENSG00000178301	0.6397953033447266
ENSG00000136710	ENSG00000144589	0.6372655630111694
ENSG00000136710	ENSG00000131408	0.6306906938552856
ENSG00000136710	ENSG00000115677	0.6280951499938965
ENSG00000136710	ENSG00000134538	0.6241903305053711
ENSG00000167004	ENSG00000169689	0.656384289264679
ENSG00000167004	ENSG00000198853	0.6444749236106873
ENSG00000167004	ENSG00000126458	0.6264069676399231
ENSG00000167004	ENSG00000100417	0.5806064009666443
ENSG00000167004	ENSG00000134323	0.5798504948616028
ENSG00000167004	ENSG00000169375	0.5733926892280579
ENSG00000167004	ENSG00000108825	0.5673423409461975
ENSG00000167004	ENSG00000198721	0.5661976337432861
ENSG00000167004	ENSG00000177047	0.5656530857086182
ENSG00000167004	ENSG00000163156	0.5635256171226501
ENSG00000204941	ENSG00000156804	0.7267350554466248
ENSG00000204941	ENSG00000035141	0.6277399063110352
ENSG00000204941	ENSG00000170396	0.6208202242851257
ENSG00000204941	ENSG00000182004	0.6156925559043884
ENSG00000204941	ENSG00000140990	0.6086457371711731
ENSG00000204941	ENSG00000164463	0.6041463017463684
ENSG00000204941	ENSG00000260027	0.5899034738540649
ENSG00000204941	ENSG00000115084	0.587734043598175
ENSG00000204941	ENSG00000178127	0.5868722200393677
ENSG00000204941	ENSG00000145431	0.5858300924301147
ENSG00000132915	ENSG00000119402	0.6721574664115906
ENSG00000132915	ENSG00000157036	0.6271780133247375
ENSG00000132915	ENSG00000255587	0.5953860878944397
ENSG00000132915	ENSG00000136297	0.5951845049858093
ENSG00000132915	ENSG00000139146	0.5926615595817566
ENSG00000132915	ENSG00000170961	0.5922317504882812
ENSG00000132915	ENSG00000213420	0.5919697284698486
ENSG00000132915	ENSG00000173653	0.5918288826942444
ENSG00000132915	ENSG00000234920	0.5859552621841431
ENSG00000132915	ENSG00000147896	0.5847387313842773
ENSG00000124171	ENSG00000178718	0.5948714017868042
ENSG00000124171	ENSG00000146094	0.5757221579551697
ENSG00000124171	ENSG00000097021	0.5652175545692444
ENSG00000124171	ENSG00000249915	0.5645871758460999
ENSG00000124171	ENSG00000140386	0.5626236200332642
ENSG00000124171	ENSG00000284571	0.5584821701049805
ENSG00000124171	ENSG00000093072	0.5570655465126038
ENSG00000124171	ENSG00000102870	0.5501011610031128
ENSG00000124171	ENSG00000197381	0.5472574234008789
ENSG00000124171	ENSG00000164022	0.5472233891487122
ENSG00000185669	ENSG00000188647	0.6063328385353088
ENSG00000185669	ENSG00000242220	0.589085042476654
ENSG00000185669	ENSG00000113231	0.5802657008171082
ENSG00000185669	ENSG00000007312	0.5799539089202881
ENSG00000185669	ENSG00000150961	0.5757339596748352
ENSG00000185669	ENSG00000274703	0.5754731297492981
ENSG00000185669	ENSG00000204131	0.5649018883705139
ENSG00000185669	ENSG00000180902	0.5608916878700256
ENSG00000185669	ENSG00000168398	0.5583515763282776
ENSG00000185669	ENSG00000145996	0.5582547187805176
ENSG00000152749	ENSG00000131969	0.7012289762496948
ENSG00000152749	ENSG00000163975	0.6940009593963623
ENSG00000152749	ENSG00000197614	0.693945586681366
ENSG00000152749	ENSG00000104381	0.6791813969612122
ENSG00000152749	ENSG00000135709	0.6702459454536438
ENSG00000152749	ENSG00000234829	0.6586920022964478
ENSG00000152749	ENSG00000170419	0.6569628715515137
ENSG00000152749	ENSG00000162344	0.6553028225898743
ENSG00000152749	ENSG00000187730	0.6533825397491455
ENSG00000152749	ENSG00000165192	0.6528530120849609
ENSG00000102245	ENSG00000159189	0.649090588092804
ENSG00000102245	ENSG00000180660	0.6466578841209412
ENSG00000102245	ENSG00000185483	0.6111322045326233
ENSG00000102245	ENSG00000139180	0.5994776487350464
ENSG00000102245	ENSG00000077232	0.5726540088653564
ENSG00000102245	ENSG00000170624	0.5622146129608154
ENSG00000102245	ENSG00000073060	0.5601713061332703
ENSG00000102245	ENSG00000118137	0.5579062700271606
ENSG00000102245	ENSG00000130254	0.5532951951026917
ENSG00000102245	ENSG00000171262	0.5516209006309509
ENSG00000174953	ENSG00000116030	0.9030102491378784
ENSG00000174953	ENSG00000100129	0.8845936059951782
ENSG00000174953	ENSG00000215301	0.8816776275634766
ENSG00000174953	ENSG00000169398	0.8784656524658203
ENSG00000174953	ENSG00000198034	0.8735325336456299
ENSG00000174953	ENSG00000105639	0.8688191175460815
ENSG00000174953	ENSG00000127616	0.8666203022003174
ENSG00000174953	ENSG00000175166	0.8588544130325317
ENSG00000174953	ENSG00000171843	0.8587223291397095
ENSG00000174953	ENSG00000102221	0.8580894470214844
ENSG00000135625	ENSG00000276154	0.6649804711341858
ENSG00000135625	ENSG00000158955	0.6648350358009338
ENSG00000135625	ENSG00000164463	0.6647714376449585
ENSG00000135625	ENSG00000170396	0.657033383846283
ENSG00000135625	ENSG00000172006	0.6530178785324097
ENSG00000135625	ENSG00000206314	0.6457030177116394
ENSG00000135625	ENSG00000180176	0.6342665553092957
ENSG00000135625	ENSG00000143194	0.6265000104904175
ENSG00000135625	ENSG00000103067	0.6232529282569885
ENSG00000135625	ENSG00000148795	0.6174393892288208
ENSG00000227993	ENSG00000172732	0.6451402902603149
ENSG00000227993	ENSG00000186010	0.6359151005744934
ENSG00000227993	ENSG00000169020	0.6302345991134644
ENSG00000227993	ENSG00000187516	0.6181610226631165
ENSG00000227993	ENSG00000152147	0.598676860332489
ENSG00000227993	ENSG00000103061	0.5951777696609497
ENSG00000227993	ENSG00000274684	0.5929421782493591
ENSG00000227993	ENSG00000174243	0.5923108458518982
ENSG00000227993	ENSG00000168066	0.5910142064094543
ENSG00000227993	ENSG00000020426	0.5847527384757996
ENSG00000168961	ENSG00000110092	0.8633283972740173
ENSG00000168961	ENSG00000142168	0.8600291013717651
ENSG00000168961	ENSG00000155329	0.8425567746162415
ENSG00000168961	ENSG00000245848	0.8047624230384827
ENSG00000168961	ENSG00000237056	0.79924076795578
ENSG00000168961	ENSG00000184276	0.7945427894592285
ENSG00000168961	ENSG00000105819	0.7887223958969116
ENSG00000168961	ENSG00000196878	0.7798622846603394
ENSG00000168961	ENSG00000079246	0.7729243636131287
ENSG00000168961	ENSG00000131153	0.7602128982543945
ENSG00000145354	ENSG00000118113	0.6685417294502258
ENSG00000145354	ENSG00000174607	0.6372396349906921
ENSG00000145354	ENSG00000187961	0.608201801776886
ENSG00000145354	ENSG00000126749	0.6038066148757935
ENSG00000145354	ENSG00000106665	0.5992962718009949
ENSG00000145354	ENSG00000168096	0.5992853045463562
ENSG00000145354	ENSG00000196711	0.5891594886779785
ENSG00000145354	ENSG00000142684	0.5861256718635559
ENSG00000145354	ENSG00000102401	0.5808030366897583
ENSG00000145354	ENSG00000277069	0.5807182192802429
ENSG00000141127	ENSG00000182866	0.6576524972915649
ENSG00000141127	ENSG00000116741	0.6485043168067932
ENSG00000141127	ENSG00000168496	0.6228676438331604
ENSG00000141127	ENSG00000100075	0.6189040541648865
ENSG00000141127	ENSG00000198727	0.6171395778656006
ENSG00000141127	ENSG00000166402	0.6024544835090637
ENSG00000141127	ENSG00000150672	0.5995838046073914
ENSG00000141127	ENSG00000146834	0.598667562007904
ENSG00000141127	ENSG00000131507	0.5908067226409912
ENSG00000141127	ENSG00000082153	0.5873150825500488
ENSG00000126787	ENSG00000125817	0.7176244854927063
ENSG00000126787	ENSG00000140553	0.6825702786445618
ENSG00000126787	ENSG00000173933	0.6637736558914185
