gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000154928	-0.082964845	0.006476512	-0.013162656	-0.10964258	-0.002992322	-0.1750848	-0.11318787	-0.03159634	-0.29798985	-0.338292	0.13655794	-0.25585356	-0.11895393	0.29096422	-0.10773199	0.20149009	0.11729219	-0.39909685	0.08884187	0.07703072	-0.032892436	-0.03304532	-0.09619958	-0.2040651	-0.18655705	-0.007063048	-0.03658487	-0.07902833	-0.17053254	-0.028022913	-0.1298587	0.035795834	0.13192399	-0.22161868	-0.2812212	-0.08088206	0.22280541	0.38709688	0.17870928	0.3695855	0.29315168	-0.02649874	-0.07722563	0.08907018	0.037651636	0.11123247	0.0019414532	0.13600558	0.0897035	0.042052567	-0.06734702	0.0690731	0.17889702	0.05012199	-0.13546704	0.03954117	0.031179737	0.052275576	-0.1825155	-0.045069538	0.07628816	-0.21788886	0.13192397	-0.15412463
ENSG00000182985	0.058991954	-0.5691107	0.24030997	0.19625247	-0.08694856	-0.013440505	-0.20869829	-0.22890893	-0.3661232	0.26443964	-0.1044687	0.13319024	0.2632949	0.5192976	0.1841891	-0.0032497793	0.07940798	-0.10706829	0.6117067	-0.19285342	0.6326374	0.13208276	0.29045692	0.16635527	0.36771798	-0.31255868	-0.080369905	-0.24722937	-0.05758406	0.005608399	0.28229684	-0.2381225	0.060566142	0.40966755	-0.22733563	-0.09663501	-0.48147017	0.28301373	0.022611795	0.09991814	-0.22999257	-0.012957791	0.15795058	0.5429256	0.09335975	-0.12376509	-0.12567325	-0.016924845	-0.13092439	-0.4372754	0.48850566	0.12048192	0.08167317	0.05588438	0.0297076	-0.40337247	0.20745318	-0.017606655	-0.1921867	0.46916303	-0.09610891	-0.34863558	0.04415234	0.23185483
ENSG00000075945	-0.047884494	0.019760003	0.08262586	0.059372254	0.042373873	0.029488426	0.06071001	-0.12804694	0.0062329397	0.043653496	0.045962784	-0.027129982	0.07934549	-0.05615437	0.11062983	-0.010770397	0.0071943924	-0.03848268	0.010123644	-0.08836866	0.042974353	-0.077332154	0.013843354	-0.022788035	-0.008647877	0.07182076	-0.06491547	-0.0074398182	0.017738735	0.1032799	-0.055864625	-0.038641006	0.03031594	0.1080191	-0.01829441	0.023120258	-0.0035847416	0.03205254	0.07301864	0.032103635	-0.0066662086	-0.065219074	-0.03022034	-0.022329614	0.035270475	0.08916259	-0.00055768574	-0.14076811	0.13286752	0.16095316	0.001665663	-0.1820216	-0.017952869	0.09605028	-0.08877407	0.115762524	0.00018001255	-0.03395301	0.03714793	0.10147367	0.05186208	0.0012124229	0.043775752	-0.039823443
ENSG00000203786	-0.059322692	-0.16275887	0.042310003	-0.08142656	-0.027993308	-0.3105293	-0.0780521	-0.13108565	0.15916258	0.021335827	-0.09767528	-0.03511981	0.028718501	0.1218408	0.09856463	-0.18030196	-0.1600252	-0.13090672	0.019980673	0.118018724	-0.038996324	-0.06291491	-0.15073386	0.07935396	-0.103172965	0.23083334	-0.30011132	0.048397664	-0.08431482	-0.078290515	-0.058647417	-0.14741512	-0.067366004	0.1255398	-0.029128147	-0.032750696	0.0910927	-0.006749432	0.05205462	0.23492186	-0.01125108	0.1629462	0.06619266	0.103635445	-0.13768187	0.0532714	-0.015245054	-0.20486674	-0.06753908	-0.017504672	0.0149592245	-0.14281225	-0.020257859	0.17914401	-0.051976074	0.015534323	0.1448647	0.076165386	-0.14504245	0.0057007363	-0.15390107	0.09522111	-0.020557962	0.011295503
ENSG00000136710	-0.0889297	0.0022132825	0.40046445	-0.107342556	0.26770836	0.19298069	0.46148178	-0.10550335	0.4025506	-0.26666838	0.002389281	-0.1450256	-0.2540174	0.46213916	-0.22438808	-0.48758236	0.21058127	-0.21067308	0.4843954	0.30206868	-0.37600413	-0.039083555	-0.23517394	0.2637217	0.11898173	0.096299775	0.52921695	-0.08246237	0.28170863	-0.18973255	-0.17511468	0.14775488	0.12070612	0.30249903	0.057705067	0.017868489	-0.031468697	0.056011822	-0.16283444	-0.099971786	-0.12127118	-0.30041248	-0.08072274	0.46935308	-0.2344553	0.18282	0.0537501	0.28664467	-0.06621584	-0.31832048	0.18009248	0.21487729	-0.13808908	0.23653433	-0.058103632	-0.1674525	0.16118878	0.24687639	0.18555433	0.21974224	0.09308044	-0.20884609	-0.2591437	0.3257282
ENSG00000167004	-0.2848254	0.071526185	0.019173069	0.040782973	-0.035990708	0.16506806	0.032801557	0.089324534	0.008695632	0.25371853	-0.16065758	-0.1514667	0.033898987	0.135162	0.2164827	0.082262576	-0.15213439	0.054424576	0.054758202	-0.15706074	0.20720547	0.090491734	-0.09278626	0.019759076	0.38729346	-0.06467959	-0.045692313	-0.08967872	-0.19785275	0.26952547	0.16098705	0.010349233	0.07888008	0.2044804	-0.3013434	0.20484418	-0.36443207	0.07421362	0.17632154	-0.0923986	-0.033366892	-0.31049728	0.12747468	-0.016846403	-0.16476983	0.038783204	0.024196075	0.09874338	0.25595006	0.07316831	-0.06599073	-0.0043409094	-0.13447171	0.4084622	-0.042960785	0.015461892	-0.093215615	-0.16883215	-0.16358897	-0.0018386999	-0.06737166	0.08947184	0.0651012	-0.06228686
ENSG00000204941	-0.03914854	-0.24350205	0.21587269	-0.025022633	0.6124705	-0.024438195	0.20599733	0.14660041	-0.36985332	-0.5849187	-1.1542679	-0.39262936	-0.35027564	-0.26102635	0.15527254	-0.4698891	0.3071727	0.6121813	0.505887	-0.4718842	0.05937156	0.55607396	-0.7636024	0.04379492	0.578426	-0.46681422	-1.0423992	-0.31296816	0.10238698	0.19511652	-0.009534026	-0.012121584	-0.5702557	0.07945807	-0.5775497	0.25962204	-0.35435057	-0.33160067	-0.41283002	-0.4528325	-0.25482494	-0.37647614	-0.24825259	-0.1955136	-0.089901164	0.4637016	-0.0011487422	0.2194384	-0.3678409	0.42105168	0.47872344	-0.339154	0.49336162	0.21605806	-0.028955232	-0.16494924	-0.10920547	0.32175538	-0.5389521	0.30325377	-0.46578538	-0.22617975	-0.29583627	0.42488673
ENSG00000132915	-0.05275143	-0.044942074	0.020504665	-0.026887279	0.05091643	-0.047370907	0.04008213	-0.026304584	-0.047251947	-0.08318136	-0.048072685	-0.06345004	0.0600121	-0.08078945	0.012252488	0.019272026	0.13202046	0.08130234	0.094972804	-0.112766355	0.10669934	-0.0043767476	-0.12262794	0.043936018	-0.008233204	-0.020956906	-0.21155082	0.09975615	0.105066314	-0.020114303	0.027508363	-0.13959058	0.08781481	-0.08335339	-0.19278502	-0.031460673	-0.019883499	-0.13932443	0.114351794	-0.076988	0.11541385	-0.0716183	0.10453606	0.11379108	-0.054685052	-0.032050967	0.036691975	-0.04984477	0.083968915	-0.0113756545	0.040381856	-0.00985407	0.085743606	-0.14924991	0.006961681	0.0427511	-0.05626267	0.05054214	-0.19077873	-0.06808031	-0.029428791	-0.05675547	-0.044001415	0.06810997
ENSG00000124171	-0.046922825	-0.060079694	0.035658736	-0.028745057	-0.02161373	-0.091213	0.015081693	-0.11560228	0.106602356	0.071859196	-0.0070672454	0.027883105	-0.025585346	-0.0124002695	0.03795363	-0.03752031	-0.02353153	-0.053843416	-0.019145567	-0.06103883	-0.01849837	-0.08853632	-0.002575677	-0.024880888	0.022552311	0.12893653	-0.10555216	0.041478924	0.02743593	-0.011331126	-0.060609557	0.0014077949	-0.012154626	0.17384231	-0.049550235	0.04091345	-0.026420617	0.03283889	0.12126029	0.031408522	0.05790842	0.00055259	-0.014924037	0.05982375	-0.017494582	0.07999865	0.0057007936	-0.17140158	0.07051827	0.081962086	0.0198996	-0.059088163	-0.008458588	0.054953646	0.00977914	0.021701293	0.061191797	-0.001973668	0.04364373	-0.00444307	-0.032724112	-0.002086549	0.01681087	-0.08205315
ENSG00000185669	0.12975173	-0.37588593	0.16352545	-0.16699201	0.040856823	-0.5299924	0.02019855	-0.26098883	0.41859755	0.073220156	-0.035126753	0.09237292	0.29007494	0.13636903	-0.1321731	-0.16320953	-0.2486858	0.2453299	0.052128393	0.1918467	0.26378202	0.023197336	-0.14950335	-0.013148015	-0.16155255	0.14368461	-0.3652611	0.1873551	0.304282	-0.16680424	-0.39275658	-0.11057073	-0.15202409	0.28433624	-0.27791175	0.14723273	-0.03257686	-0.13644406	0.3491102	-0.033918817	-0.044398777	0.012863463	-0.009975919	0.25306442	-0.046707425	-0.024635192	-0.12799601	-0.24609974	0.1373362	-0.0705113	0.21340188	-0.19834265	-0.07177175	0.21992587	-0.0021206401	0.07981757	0.13412246	0.20582849	-0.34040436	0.15625785	-0.01341143	-0.11307258	-0.11186506	-0.46337682
