gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000154928	0.0068572974	0.26855737	-0.043035746	0.12621823	0.0469352	0.028770566	-0.015475413	-0.020942204	0.02902763	0.14743531	0.20537665	0.10811569	0.15698062	-0.08073458	0.06576841	0.17217395	0.026662441	-0.13240898	0.119342834	0.078782074	-0.06240759	-0.18708886	-0.10743407	-0.024294883	0.18874021	-0.030996043	-0.11111302	-0.3190521	0.00508275	-0.13587081	-0.00055172155	-0.21069823	0.21465057	0.15580446	-0.22217648	0.13581572	0.061324544	-0.026374491	-0.051316526	-0.11440159	0.17047463	-0.018951312	0.47206515	0.044992417	-0.36219454	0.059042785	0.105959006	0.030930799	-0.04759606	-0.12558056	0.18485543	-0.08860042	-0.18387698	-0.14851232	0.31126633	0.19049463	0.022033323	0.038693517	0.07625752	-0.006891247	0.027999554	0.13396849	0.26326516	0.04051501
ENSG00000110987	-0.017822605	0.03591322	-0.017158546	-0.010784201	-0.05141587	-0.037167385	-0.035035834	-0.093159825	-0.04122179	0.020598134	-0.05350742	0.0707283	-0.1202167	-0.009236267	0.16910294	-0.029220631	0.12568866	-0.14789985	-0.02182842	-0.034723938	0.020154927	0.19779266	0.03098809	-0.16042268	0.060372528	0.04983267	-0.115493886	0.001424849	0.23166803	-0.104262695	0.07737872	0.058694087	0.0364826	0.14461383	-0.10062928	0.23342521	0.0683699	-0.09179345	0.09210995	-0.060870733	0.025909398	-0.16057046	0.09568655	-0.007464081	-0.14697808	0.024321236	0.053556513	-0.13447893	-0.1367316	-0.08501502	-0.07681124	0.0391142	0.10055192	0.014722567	0.010832163	0.022999136	0.13563828	0.046588864	-0.20949343	-0.07038218	-0.20860672	-0.09413668	0.038640354	0.08172873
ENSG00000182985	-0.03336426	0.051517867	0.061079033	0.28193864	0.06792627	0.22377686	-0.048943184	-0.03354935	0.11535653	-0.0969152	-0.1093097	-0.009253683	0.047878023	-0.09908913	0.20204528	0.112740114	-0.038689107	-0.16363141	-0.16092208	-0.17711838	-0.017210215	-0.074546434	-0.07971339	-0.16525963	0.027668364	-0.044067487	0.0800242	0.017992936	0.20254894	-0.14442015	-0.014403425	0.10537315	-0.017284578	0.17948586	-0.060019247	0.058596604	-0.008817492	0.02491151	-0.050421286	-0.023465779	-0.20504095	0.04543601	0.14562628	-0.11528346	-0.14799504	-0.054927893	0.025765982	-0.20975035	-0.108405136	-0.06828595	-0.018613163	0.34214973	0.013330038	-0.19117767	0.18449779	-0.08687592	-0.22994044	0.047238465	-0.002790405	0.13350397	0.0900003	0.02591588	-0.113653	0.10241307
ENSG00000075945	-0.09600124	0.030471882	-0.08087144	0.26439252	0.058135018	0.005345976	-0.22583124	0.15597746	0.029882703	-0.17758091	-0.14831102	0.080688715	-0.11316326	0.06859274	-0.009439064	0.1292161	-0.12427855	-0.18350382	0.0907118	0.18872733	0.024506424	-0.021876913	0.2727181	-0.08002275	0.039563864	0.097693846	-0.17498785	-0.066144265	0.011034178	-0.11243321	0.05569292	-0.13278244	0.23272318	0.18270922	-0.091842085	0.17619534	-0.21622182	-0.15900764	0.05650898	-0.25019455	-0.14040177	0.074423164	-0.029511264	0.060296007	-0.18890506	-0.029540356	0.073343486	-0.13592051	-0.009919615	-0.08337342	-0.017995782	-0.11214749	0.21848984	0.121439666	0.31004012	0.22196835	-0.085606314	-0.07405755	-0.040039286	0.006858211	-0.1744086	-0.20172904	0.26804706	0.25215468
ENSG00000105697	0.03184871	-0.023077298	-0.074227385	-0.018781897	-0.16880517	-0.13372111	0.013846165	-0.16340826	0.030575871	0.06694159	-0.1448534	-0.28609335	-0.07141231	0.1833684	-0.078615956	0.046840563	0.016723095	0.05634213	0.073576696	-0.1136622	-0.028036814	0.021912012	-0.20920596	0.032814234	0.16298635	-0.082451075	0.013726512	-0.06716812	-0.038405135	-0.1370473	-0.036371663	0.06576125	0.002051429	-0.032501176	-0.24164282	0.26922	-0.061599955	-0.108735	0.21035135	0.011701328	0.12725809	-0.14443225	-0.0032183267	0.07321773	0.019920316	-0.2100757	-0.2904847	0.053638782	-0.06345476	-0.1611858	-0.02746142	0.07242502	0.038857903	-0.07223931	0.10127222	-0.029244429	0.15463611	-0.1590781	0.0009816526	0.029003542	0.10631311	-0.028378906	0.17006248	-0.01656004
ENSG00000198704	0.059232965	0.04376454	-0.17390516	-0.18028	-0.13115954	-0.1509908	-0.09862446	-0.19795793	0.03278609	0.16826773	-0.051501412	-0.32505324	0.23945771	0.11171885	-0.30450216	-0.01769754	0.07213851	0.051006112	-0.18066435	0.14154741	-0.121001534	0.13830961	-0.1699318	0.2522125	-0.1627151	-0.028262712	0.107898526	-0.20861948	-0.058195792	-0.04527493	0.051484387	0.10163393	0.059856873	-0.23127346	-0.18744825	-0.11445836	0.24632351	-0.25401917	-0.04114749	-0.031351	0.06790977	0.03336516	-0.1916743	-0.10705775	-0.12658052	0.09582479	-0.07584506	0.12702276	0.12086775	-0.01786303	0.17187813	0.14174691	0.1110127	-0.024113867	0.15318257	0.11420637	-0.51236933	-0.020695698	-0.051441602	0.034357216	-0.16732173	0.1251803	-0.24423297	-0.00015951134
ENSG00000203786	-0.17982854	-0.01094611	0.09120212	0.23510876	0.22958131	-0.04349064	0.10217681	-0.00971385	0.10900592	0.18676987	-0.07240196	-0.03173154	-0.06995951	-0.04868022	0.009667615	-0.037791625	0.025459165	0.12716317	0.052939042	0.061460216	0.05077005	-0.09313629	-0.06114974	0.002510583	0.04304617	-0.1888186	0.19646949	-0.19042084	-0.0749966	0.054976862	0.11200626	0.031619888	0.028948808	0.02351824	-0.21145557	-0.12867558	0.05036326	0.1252469	-0.045480866	0.15822549	0.06347253	0.17812963	0.01916185	0.068400905	-0.054543834	-0.15213487	0.038188815	0.08729831	0.0041132476	0.014890516	-0.09663493	-0.027177468	0.055558927	-0.099657655	0.13442077	0.14775957	0.070620395	0.0770276	0.27542067	0.2175177	-0.21963045	-0.00013044802	-0.019773696	0.22322159
ENSG00000136710	-0.11614606	0.103436284	-0.29683334	-0.099784166	0.34174666	0.0217435	-0.31120712	-0.2249345	0.03533784	-0.2563899	-0.17981657	-0.2036604	-0.29000318	0.10313454	0.039124466	-0.4292132	0.29511002	0.14691953	-0.26958647	-0.0057306564	0.45100367	-0.32361457	-0.11161591	-0.25002626	-0.13123152	-0.1186641	-0.2179228	-0.08115995	-0.06737276	-0.1150094	-0.018774405	0.45681208	-0.09491442	0.2956587	0.16577311	0.01295387	-0.02795204	-0.0581165	0.17667238	-0.3301191	0.2882417	-0.4999906	-0.017401056	0.13385087	-0.27241024	0.067501605	0.108482055	0.108933955	0.30037516	0.09040218	-0.17634349	0.20793459	0.3612507	0.15300527	-0.34304398	-0.42570543	0.42299786	0.06752926	-0.112820186	0.30389908	-0.22051351	0.28747445	0.0313692	0.053223953
ENSG00000167004	-0.010058704	0.02732251	0.0325656	0.14346306	0.114517845	0.017973216	0.040309366	0.0007292796	0.056877524	0.109871656	-0.081948906	-0.02128029	0.16730495	-0.025577944	-0.0064052492	0.104027726	-0.15407665	-0.042067796	-0.035776846	0.033161882	-0.00648458	0.016356532	-0.020179775	0.028697975	-0.00031822128	-0.15487081	0.005827239	-0.09718181	0.035099506	-0.033631716	0.09113874	-0.08515458	0.07855036	-0.029757233	-0.12865417	-0.04715936	-0.049886163	0.09337956	-0.0016054399	-0.04518454	-0.035667896	0.116250075	0.03038568	0.06362512	0.0351177	-0.06568267	-0.041175935	-0.04118778	-0.03721574	0.0110982	-0.04970396	0.10196438	0.10557485	-0.020596664	0.13222839	0.06883317	-0.061065994	0.071557775	-0.047630083	0.14073926	0.008396668	-0.025867408	-0.0071087214	0.13228011
ENSG00000204941	0.014151488	-0.15206341	0.013782196	0.3103288	0.12936923	0.2681494	-0.012889601	-0.03387337	-0.38866487	-0.07566535	-0.19306476	0.53422314	0.049669024	0.1673571	-0.07817496	-0.37840688	0.028866047	0.031675022	-0.06240815	0.09791751	0.06326814	-0.052293178	0.3744037	-0.049988613	-0.5936305	-0.025217582	-0.18329719	-0.18890297	-0.16911693	-0.31456465	-0.25420076	0.33961385	-0.28909066	0.14078203	0.06464976	0.30818352	-0.034536447	0.3250625	-0.43962494	-0.3765697	-0.27289945	0.22383195	0.030431619	0.37187383	-0.071480386	0.12233883	-0.034003764	-0.54281676	-0.24394149	0.4432502	0.2380534	-0.13343942	0.33315587	0.64074975	-0.10287476	0.2179447	-0.29081008	-0.100304194	0.3591704	0.48344618	-0.053447742	0.4458576	-0.21578197	0.010366969
