gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000154928	0.020262942	-7.745251e-05	0.026736695	-0.04451709	0.06884274	-0.13116108	-0.0775132	0.0028759753	0.013050859	0.026479777	0.044361863	0.013171388	0.07609262	0.013625687	0.08390021	0.11005303	0.007074447	0.06103641	-0.0025029238	0.042911302	0.042782962	-0.16450973	0.04729314	-0.17608209	0.0066623664	-0.042614557	0.03856934	0.11783416	0.017281225	-5.9915707e-05	0.08691216	0.0036454275	0.018414568	0.03637746	0.019613516	-0.086091526	-0.013829426	0.006144872	0.14801235	-0.042777333	-0.029100526	-0.059140056	0.050267983	0.12689832	0.003925723	-0.076961815	-0.08515971	0.08477205	-0.02352922	0.13026188	-0.046074923	0.084919274	0.057131745	0.09709898	-0.021281796	-0.021337278	0.050371435	0.08605806	-0.07915588	0.10778356	-0.017353535	0.08988394	0.061250687	0.043394968
ENSG00000182985	0.054889563	-0.20739089	0.06630005	0.08818149	-0.0009972801	-0.17101854	-0.27589178	-0.27235633	0.065565094	-0.28230077	0.0904903	0.1190413	0.03107827	0.3478772	-0.049351282	0.38377014	-0.26673192	-0.2517824	-0.008555485	0.09833756	0.2709496	0.056972582	0.34898052	0.1121611	0.36051637	0.5475778	-0.11124206	0.38431853	0.1025576	0.3100071	0.11350752	0.011270745	0.47774065	0.27744147	0.25514203	-0.15715986	0.004066392	-0.026791457	0.26658344	-0.12603472	0.114501275	0.049211696	0.07822442	0.34032404	-0.2117649	0.03566625	0.1972847	-0.15406805	-0.17709312	0.19206907	-0.06998458	-0.10146983	0.15314327	0.08665685	-0.29594174	0.014403834	0.48977622	0.17072785	-0.49421507	0.3161939	-0.1596659	0.20112142	0.48899826	-0.27117798
ENSG00000075945	-8.13934e-05	0.047461335	0.13178985	0.060500104	0.098664716	-0.1285741	-0.15739106	0.009976613	0.03113737	-0.067755535	-0.021671854	-0.05259858	-0.013780689	0.0072052497	0.04051748	0.059473317	-0.08272857	-0.0039286613	0.0754458	0.044203553	-0.0944175	-0.15396759	0.000559045	-0.14085637	0.032592215	0.08923783	-0.009576594	0.062176224	-0.08662838	-0.048715077	-0.065799505	0.06301631	0.0058657983	-0.014051182	0.015654853	-0.10571549	-0.0357706	-0.08679835	0.14070743	-0.02474946	0.05606164	-0.08338263	-0.039038233	0.05660486	0.0353038	-0.053699195	-0.06399042	0.043104798	-0.099029645	-0.016480176	-0.025410978	-0.01816299	-0.02261949	0.18024158	-0.14223464	0.040206823	0.0019435328	0.09659672	-0.09462181	0.15583467	-0.14835803	0.028350793	0.12849435	-0.010725909
ENSG00000203786	0.061452936	-0.14786787	0.07512093	-0.12207685	0.09297296	-0.044507325	0.09874588	-0.03564563	0.20970176	0.028557371	-0.08602483	0.00011656247	0.076794155	0.026692493	0.14104114	-0.038729575	-0.05678017	0.19205149	0.31379926	0.07076523	0.23055117	-0.1588434	0.1216585	-0.019942636	0.13950129	0.17777295	0.16829725	0.024855701	0.012848986	0.10789758	-0.01601924	0.0535565	0.028334195	-0.23260966	0.13147034	0.08868495	0.32400903	0.048878476	0.045982786	0.052811377	0.07133778	-0.04813774	0.0019577455	0.1426056	-0.04765206	0.013566494	0.16308896	0.051229514	-0.12842798	0.24032748	0.04263986	0.17960337	-0.06883937	0.2270123	-0.037307568	0.028023705	0.19539422	0.22535193	-0.16191134	0.032578997	-0.06526007	-0.0879309	0.21438321	-0.09758293
ENSG00000136710	0.40297595	-0.03457207	0.005673323	0.035256244	0.16598742	0.29142326	0.047416423	-0.03963419	0.2421689	0.036366567	-0.4163248	-0.18119854	0.2218431	0.003851885	0.122320384	0.0666596	0.2249082	-0.010293545	0.0678405	0.4276729	0.11206743	-0.14250131	-0.15933897	-0.22349432	-0.35025355	0.14296931	0.47288948	-0.42509606	0.3630148	0.20647667	-0.37421393	0.0128475465	0.07341384	0.22078612	-0.041527502	0.011210486	0.11207216	0.041499026	-0.23696898	-0.0288941	-0.2348884	0.4641947	-0.26066816	0.07809539	0.23389767	0.12584223	0.033499766	-0.22754094	0.3390843	-0.13960005	-0.009763217	0.03796637	-0.19618428	0.004400214	-0.0935228	0.07759267	0.2841324	0.39509413	-0.22554725	0.3859397	0.08617835	0.22148778	-0.04636965	0.07585806
ENSG00000167004	0.09180966	-0.091609545	0.1812742	0.052631248	0.055977654	-0.048437376	0.12188165	-0.07282776	0.17577378	0.061746184	-0.0052751154	0.009933105	0.007281733	-0.16656405	0.011203783	-0.0011993991	0.009883596	-0.13274632	-0.2907482	0.20543832	-0.12502207	-0.11485131	0.10610663	-0.02185163	-0.094972126	0.025841722	-0.06884431	-0.011245586	0.021164356	0.17012067	-0.009074075	-0.1306738	0.022131074	0.109451644	-0.12817596	0.108508684	0.39779243	0.03996115	0.10694397	0.12572233	0.1566087	0.104376286	0.3556057	0.01379503	0.17855443	-0.23364556	-0.07775736	0.034363586	0.060197838	0.25613773	-0.13166755	0.2468026	-0.22876438	0.024154048	-0.09619708	-0.19684285	0.23939869	0.14114021	-0.1268529	0.05193252	-0.26073754	-0.11624545	0.15640633	-0.30273798
ENSG00000204941	-0.16159937	-0.008497812	0.04917564	-0.27379578	-0.053349264	0.1118711	-0.064711064	0.18889001	0.1507266	0.0004157368	-0.24946311	0.21228346	0.29355338	0.020107394	0.28204113	0.07242255	-0.246666	-0.07441187	-0.06815383	-0.1396208	0.00225671	0.059090447	0.14436139	0.2645972	0.044140425	0.29598096	0.09431504	-0.15321106	0.06120731	0.1012633	-0.08560234	-0.16830783	-0.20950474	-0.26742795	0.38158453	0.22316495	-0.07522594	0.08060633	0.4147691	-0.018234126	-0.20247617	-0.013698785	0.20138857	0.28703192	-0.15066342	-0.060833074	0.0937577	-0.051929917	0.0938743	0.16365209	-0.30754316	-0.06088763	0.081847586	-0.016066529	0.037762973	0.24076343	0.42777112	0.0125625525	-0.23012403	-0.04341701	-0.111558	0.11898647	0.22009465	-0.036842395
ENSG00000124171	0.05112032	-0.15053317	0.101786375	-0.031689122	0.16627587	-0.054885194	0.08021587	-0.21785934	0.1621624	-0.122613564	-0.124492854	0.04157865	0.0854798	-0.14682202	-0.02395331	0.004712357	-0.10398467	-0.23357661	0.0041430164	-0.076924935	0.04178509	-0.15200119	-0.0030984562	0.13863231	0.04653331	-0.026371567	-0.06996612	0.009080373	0.21040955	0.07843146	-0.003721429	-0.11596586	-0.23119302	-0.07407488	0.08241065	0.027960414	0.04832199	0.19773665	0.18092853	0.032067645	0.010128668	-0.22674903	0.30485857	-0.08960304	0.22351418	0.0074144755	-0.14849935	0.15905154	-0.060207877	0.12332723	-0.19461128	0.04146362	-0.0390415	0.0020048171	0.015660603	-0.17718492	0.16838786	0.091772676	-0.18488756	0.00865498	-0.17865033	-0.0045357607	0.119012676	-0.13683404
ENSG00000185669	0.29319364	-0.10913441	-0.07392301	0.26299417	-0.18867268	-0.45624754	0.06094498	0.29080185	-0.21601816	-0.19208494	0.2278224	-0.5551042	0.032096725	0.26956335	-0.14956814	-0.15883586	0.21726668	0.07722512	-0.6240404	0.1295774	-0.18155135	0.15631384	-0.42732802	-0.77175426	0.30015954	0.12767813	0.24518023	-0.26836085	-0.016461136	-0.056234024	0.14020821	0.27322042	-0.1753131	0.0037297215	-0.18581219	0.030591013	0.059180554	-0.42530206	0.048495457	0.25835565	0.06660819	0.17287983	-0.5160413	0.14700246	-0.27283886	0.1522829	-0.47293252	-0.2977222	-0.034895703	-0.046199024	0.043441802	-0.22403432	0.38227087	0.20535174	0.1069929	-0.0033208607	0.0016944115	0.4826836	-0.09347115	-0.15399337	-0.26328754	-0.36642322	-0.05606369	0.13424447
ENSG00000152749	0.598761	0.38811493	0.105740175	0.25317836	-0.16331752	0.05456113	-0.12988211	-0.025923878	0.5857808	-0.016906943	-0.49608007	0.22699505	-0.05794109	0.07797314	-0.09431306	0.5457911	-0.44248876	-0.6404903	0.2492932	-0.39041436	0.18134436	-0.34220037	0.7631384	0.16736309	0.06541328	0.03160494	0.096958466	-0.1581806	0.43155125	0.069807895	-0.026545128	-0.811511	-0.44655183	0.04176692	-0.12944868	-0.29792568	-0.447588	0.31183246	0.37741318	0.07165766	-0.13488838	-0.13984382	0.105141185	0.36734062	0.33923984	-0.09137861	-0.27755195	0.1243903	0.27650157	0.15054025	-0.14196649	-0.04850142	0.6580505	0.32559544	0.32791904	-0.38207364	0.15802026	-0.28072694	-0.22485301	-0.44147414	-0.36926323	-0.4844998	0.11995969	-0.5238178
