gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000128973	0.17565998	0.020827731	-0.16154045	0.012638563	0.17462423	-0.27769023	-0.46343997	0.1469754	0.15533671	0.19736865	0.24341725	-0.40328097	-0.17611137	-0.04931017	-0.32505095	0.06327932	-0.007207405	-0.10181289	-0.49172083	0.23380202	0.17371045	0.037580304	0.15523383	-0.003963924	0.028439984	0.022866225	-0.6093441	-0.018548533	0.26314488	0.00085026026	-0.20825526	0.43064478	0.22624594	0.028173931	-0.040274836	0.09854649	-0.37795293	-0.102943055	-0.2670379	-0.08904795	0.054481037	-0.27568346	0.32592198	-0.1385938	-0.23711419	0.3994061	-0.23658504	-0.0005327258	-0.12068252	0.23681404	-0.16624053	-0.01751556	-0.3329489	0.16681275	0.22502905	0.0077360645	-0.20504452	-0.34019676	-0.17679994	-0.06808141	-0.44461444	0.33532256	0.030700695	-0.37213665
ENSG00000073910	0.66040003	0.03333332	0.33889574	0.49411216	0.0021064803	-0.3566697	0.029997256	-0.04649128	0.3871421	0.24184364	0.16459538	0.16996911	0.35663363	-0.24441536	0.8176044	0.5900492	-0.42310765	-0.40020987	-0.049914375	-0.6954673	-0.054834995	0.32896945	-0.28229028	0.41242576	0.3330421	-0.4154596	0.33872604	-0.20439908	0.060728148	0.14602071	-0.11116626	-0.5066058	0.5152738	0.09346853	-0.603548	0.25626263	0.085165806	0.19514659	-0.10477543	0.27598163	-0.054662056	-0.43687966	-0.07134654	0.031351656	0.39706373	0.047055356	0.4057146	-0.41088665	-0.34751913	-0.4163418	0.22440216	-0.17053187	-0.3713565	0.020599568	0.09843588	0.3917099	0.133233	-0.06469364	0.29923898	0.15881707	-0.017726656	-0.21489307	-0.059655007	-0.37336856
ENSG00000141384	0.021055613	0.059284855	0.10212454	-0.07689186	0.188053	-0.15888289	0.05687405	-0.022692576	-0.008087724	0.06462106	-0.023409365	-0.084067814	-0.028856229	-0.07592328	0.07948308	-0.027951121	-0.046556834	-0.046084017	-0.0099812765	-0.10227767	-0.06340219	-0.021989854	-0.042034365	-0.003960303	-0.07614651	-0.054358818	0.106711686	0.1542423	0.03460578	-0.09830367	-0.023206193	0.036504727	0.05973973	0.015141334	0.17478962	-0.14242972	-0.15685707	-0.040094387	-0.054907184	-0.0772758	0.14383046	0.096065775	-0.05414447	-0.069168836	0.04253199	0.04422096	0.039773256	0.094712265	0.070169166	-0.04045372	-0.11958492	-0.030376209	-0.017691437	-0.14954533	-0.0022532698	0.005116392	-0.03176533	-0.13626549	0.051358014	0.030245438	-0.04238918	-0.025578473	-0.07797049	-0.045450173
ENSG00000141639	-0.047585376	0.18264304	0.17659993	-0.024227923	0.15527388	0.040498164	-0.2461405	-0.034636118	0.11593229	0.18236253	0.12357277	-0.20206186	-0.058538586	-0.15821297	0.10737881	-0.04073895	0.20414624	0.13428794	-0.24247935	0.009315476	0.15518254	-0.0017709751	-0.008151911	0.027151816	-0.20363161	0.0646045	-0.102331765	0.12329525	-0.07112146	0.047330044	0.057898358	0.0055007413	0.011597624	0.07946339	-0.12197639	-0.13282213	-0.15725417	0.0672539	0.0065596546	-0.030386955	0.038415164	-0.063014485	-0.15768322	0.0003659632	0.19227982	0.079345934	-0.24638946	0.32504952	-0.030623697	-0.054673966	0.02745922	-0.18770064	-0.21861854	-0.0054658814	0.047908716	0.063921794	-0.01958983	-0.063251525	0.08613072	-0.071137615	-0.04465903	0.13800606	0.06354529	-0.11155651
ENSG00000197558	-0.28066623	0.09115417	-0.06528658	-0.29095036	-0.08892514	0.18156242	-0.1894326	-0.41726264	0.20334886	0.26026794	0.1549452	0.14580785	-0.11791449	-0.2823313	-0.28714198	-0.19048521	0.03623891	-0.22775531	-0.15852371	0.25571474	-0.24339566	-0.27055937	0.06853403	-0.15707693	0.23299792	-0.095884904	0.20998855	0.0776855	-0.027777346	-0.13222475	-0.23823836	0.2321166	0.02836135	0.17113769	0.3371439	0.02657121	-0.07210538	0.2625043	-0.19936481	0.27293572	0.086903445	0.06768817	0.052515037	0.1395141	-0.0070157945	-0.032150783	0.06093866	0.044223968	-0.10982012	-0.51126903	0.070270896	0.27769616	-0.22830202	0.19456933	-0.051356114	-0.05429652	0.3001254	-0.15184656	0.009428512	0.060530324	-0.0203526	0.053628158	-0.24326341	-0.18349414
ENSG00000228520	0.356116	-0.029342039	0.1737217	0.06428081	0.097310826	0.26575032	-0.16053398	0.046932332	0.023154251	0.11621747	0.083842695	-0.1068011	0.033835575	-0.09012406	0.18489996	0.17923647	-0.286088	0.07059024	-0.095426	-0.07573371	0.100635484	-0.08972052	-0.03690754	0.05456002	0.028412059	-0.1261667	-0.001685047	0.011727231	-0.024918409	-0.06918718	0.10642851	-0.22085169	-0.1139924	-0.09135918	-0.30462757	-0.2139715	0.09564616	0.104934186	-0.19906472	0.18482427	-0.16340098	-0.122976564	-0.11608288	0.19709095	0.019075803	-0.013210313	-0.0209906	-0.10585417	0.076645814	-0.26872912	0.03819776	-0.10213076	-0.15234068	0.09476459	-0.027358977	-0.148761	0.18765609	-0.04376892	0.19277145	0.0022925697	0.23178752	-0.08294271	-0.35159484	0.116441615
ENSG00000124126	-0.058192	0.2107302	-0.16380435	0.076935284	0.39275825	0.15769197	0.021845637	-0.25994295	0.50062555	0.30661187	0.12377823	-0.014654241	0.01929183	-0.32214844	-0.020811524	-0.18121997	0.021182584	0.034142576	-0.25881907	-0.11542931	0.092744365	-0.25615078	0.16533422	0.11010737	-0.34439787	0.23064114	-0.12783535	0.2793965	-0.46643156	-0.032233737	0.031183928	0.14153773	-0.12736213	-0.34275454	-0.18984057	0.18860045	0.041284695	0.22454718	-0.48801565	0.42606455	0.079606295	-0.15666385	-0.24226975	-0.16542093	0.27253938	0.13831903	-0.031316515	-0.14551184	-0.6156612	-0.3373417	-0.33348745	-0.0821548	-0.06313293	0.23792203	0.1294519	-0.16611178	0.316345	-0.05509934	0.2242103	0.16079721	-0.19203942	-0.21774568	-0.12845816	-0.010143181
ENSG00000125931	0.037650697	-0.03436349	-0.035807338	-0.040314764	-0.039374042	-0.092392296	-0.040921576	0.06400067	-0.00083411904	0.0063471314	-0.010893801	-0.09263665	0.04660146	-0.058364198	0.078138806	0.030961338	-0.029368082	0.07633129	0.034940872	-0.102439865	-0.11251294	0.122454904	0.05450093	0.02839508	-0.040956788	-0.05384367	0.063322954	0.091339394	0.030046271	-0.099062376	0.04019045	-0.052149154	0.05365175	0.016979342	0.057044927	0.031604856	-0.026502892	-0.046593018	-0.085012235	-0.1391712	-0.020064624	-0.052816145	0.04451358	-0.11449626	0.0701162	0.061165877	-0.062743224	0.020324113	0.09620308	-0.015622245	-0.07083325	-0.027125606	0.05206557	-0.031155	0.089855745	-0.028689899	0.10399897	-0.15952602	0.03611759	-0.09274933	-0.075257644	0.029031262	-0.10614094	0.0003849715
ENSG00000203737	0.07023806	-0.029242674	-0.007737171	-0.10984736	-0.018884514	-0.20086521	0.24294846	0.06689481	-0.003948771	-0.26269206	-0.13085012	-0.054759637	0.08537056	0.20205238	0.12650362	0.11692846	-0.11142464	0.06260114	0.0034262692	0.03884849	-0.08829974	-0.13054606	0.17634106	0.082927726	-0.013260882	0.05435863	0.13760488	0.10912167	0.07291381	0.047032066	-0.29916787	-0.0494526	-0.13969204	-0.122709215	0.10355774	0.08897476	0.07012129	0.20095205	-0.08990835	-0.1261966	0.03913939	-0.054725915	-0.02858167	0.0833049	0.011330171	0.040089644	0.049679365	0.24535742	-0.05997596	0.07627536	-0.03737638	-0.06765578	-0.12739442	-0.19746943	0.24722701	0.16748618	0.27692962	-0.088440426	-0.1349467	0.1478641	-0.05241247	0.21765843	-0.01278067	0.08223855
ENSG00000242221	0.01997079	-0.010432831	0.10164055	0.05908131	0.17879413	-0.04162273	-0.049301	-0.08963179	0.11972627	0.05258688	-0.018773938	0.098225944	0.16899173	-0.0946291	0.009238651	0.086181544	-0.0073594903	-0.0076463223	0.04912984	0.072759435	-0.2825066	0.2101848	-0.022660904	0.12781546	0.14630003	0.06525171	-0.13442439	-0.34834656	-0.09831391	-0.14535707	-0.0420608	0.11256701	0.11620589	0.2101468	-0.22288361	-0.033175755	0.19518897	-0.16875702	-0.23627278	-0.09024037	0.3240635	-0.03857553	-0.12128522	0.17588641	0.24788807	-0.054368697	0.08160427	-0.2723271	0.016851444	-0.07728166	0.032922257	0.15551735	-0.06564736	0.16577195	0.14996693	-0.2301446	0.32112807	0.004368481	0.062426135	-0.001328174	-0.13624278	-0.0953421	-0.08769266	0.005871551
