gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000080802	-0.24354164	-0.076386504	0.05762408	-0.021005427	0.13103431	-0.023786115	-0.09174757	0.029051008	-0.21289039	0.12615883	-0.044564746	0.099709205	0.0752509	0.11932806	-0.06424184	0.08319555	0.01688797	-0.10534548	0.28477472	-0.05679673	0.06202328	-0.07872349	-0.056168016	-0.16476625	0.39950457	-0.030840697	0.14342003	0.030268257	0.24154514	0.09388533	-0.035408456	-0.012995621	0.081132285	-0.20934834	-0.049286097	0.021839524	0.080595076	-0.21257362	-0.13610695	-0.2330001	0.040672835	-0.1439476	0.23873498	0.14043556	-0.018418962	0.10150352	-0.10515784	-0.15016909	-0.051719952	0.019939443	0.0869685	-0.15748112	-0.19827595	-0.1354481	0.1763579	0.1312622	-0.04468823	0.050217252	0.010922469	0.18051699	0.07770416	0.12574546	0.059795875	-0.14948696
ENSG00000169519	-0.23368034	0.18724284	-0.55029446	0.1024415	-0.24279138	0.18488142	0.16214712	0.111537874	0.43866616	0.05008743	-0.82979214	-0.33089787	-0.2613884	-0.67729455	-0.07048446	-0.7194447	-0.010361031	0.07058732	0.24301413	0.022180676	-0.14817928	-0.19452603	-0.2211714	0.4192197	-1.077536	-0.8450085	0.2538249	0.63726044	-0.20675346	0.103929326	0.17776099	0.73191446	0.0126479175	0.37789845	-0.20805283	0.8892288	-0.033470653	0.6090735	-0.30500293	-0.5417108	0.08573033	0.01998615	0.26268804	0.34920546	-0.19298749	0.3222235	0.054095745	0.29880214	-0.19380397	0.29738525	-0.1990538	0.34842268	-0.06826346	0.13412422	-0.26707685	0.26057863	-0.67165315	-0.1656142	-0.28955504	0.49103794	0.11537929	0.043240722	-0.055909384	0.19894004
ENSG00000115233	0.007952982	0.08582626	-0.043367676	-0.015291685	0.021056306	0.098657474	-0.020455161	0.063483626	0.047698967	-0.03640393	-0.0023266906	0.05978071	0.0077648647	-0.0052860714	0.021434776	-0.050966855	0.0010686019	0.019865774	-0.010110959	0.029230941	0.01611933	0.06665489	0.014187383	-0.0050483495	0.060971852	0.0021553433	0.004437943	0.0053590364	0.028142823	0.031784706	-0.027622096	0.009111882	0.0064140577	0.058066525	-0.003910524	0.005092717	-0.080569796	0.03619382	0.026828572	0.053743556	-0.007988187	0.049156405	0.041170955	-0.009469353	-0.047559705	-0.0034940606	0.035783045	-0.0334452	-0.05345996	0.031641442	-0.03540828	0.06460221	0.037065692	0.0038454887	-0.035666026	-0.07693176	-0.017446559	0.081938855	-0.030156672	0.04522043	0.0006382866	0.009217583	4.7321897e-05	0.0344078
ENSG00000101639	-0.009689817	0.087112166	-0.15857132	-0.015513517	-0.08354871	-0.3213828	-0.3054034	0.010246849	-0.00021654554	-0.02898367	0.31276265	-0.010335878	0.15867998	-0.09351983	-0.2692609	0.09070714	-0.04471387	-0.085673034	-0.163069	0.1900681	-0.08407357	-0.031784397	-0.07983848	0.19750777	-0.091031656	-0.13669266	-0.008501565	-0.033092402	-0.13070121	0.21935534	-0.0542614	0.3363971	-0.117654845	-0.15699631	0.04645044	0.083054654	-0.13937339	-0.06137248	-0.22135356	-0.21324304	-0.13405505	-0.3767596	0.33006206	0.14572848	-0.011500072	0.05382916	-0.084738255	-0.10108265	-0.1977997	0.12412101	-0.38926145	0.1070572	0.119826145	0.014853623	-0.38110346	0.14983441	0.08459803	-0.22854482	0.05230603	0.03460249	0.1436284	-0.130677	0.3971125	-0.10069596
ENSG00000144283	0.03980574	0.05240248	-0.021281438	-0.022731245	0.039419033	0.09868378	-0.040469095	0.041967183	0.08590497	-0.08512047	0.028925832	-0.014150548	0.059431978	-0.05004368	0.102302	-0.06645198	0.038263958	0.034586217	0.009501464	0.10192205	0.0014900062	0.14842926	0.065459214	-0.052845486	0.024041817	0.026400719	0.04998924	0.04371888	-0.03290073	0.10406168	-0.057869293	0.016268432	0.0020713285	0.06656973	-0.041212607	-0.07760501	-0.1195906	0.005645289	0.08660507	0.0902929	-0.017776953	0.10285392	0.033342674	0.005770868	0.022367079	0.015855096	0.05802989	-0.030233033	-0.006186018	0.02395627	-0.05215446	0.019750267	0.074650146	0.03449498	-0.15265323	-0.026991632	0.029218368	0.07419494	-0.03350564	0.059627544	-0.020695556	-0.018172938	-0.025051566	0.0038333018
ENSG00000115234	0.15267119	0.2433949	-0.20168401	-0.096927896	0.19364992	-0.27615073	-0.18581022	0.05848413	0.12834729	0.22542076	0.027201887	-0.21525182	0.0073186383	-0.23038612	0.02378564	-0.115897074	-0.15433326	0.06441428	-0.032713614	0.03307001	-0.35828745	-0.041655038	0.036675315	0.18878493	-0.2264843	-0.012431414	-0.008132289	0.20141384	-0.13474786	0.18843709	-0.13077828	-0.007830134	-0.044460915	-0.15728939	0.0015407978	-0.07391984	-0.022526395	0.38239044	-0.3294096	-0.030538013	-0.027587032	-0.015981788	0.20274419	0.07479483	-0.34395176	-0.09180264	0.16213867	0.056295477	0.1550366	0.09496108	-0.21157832	0.22439593	0.019107202	0.1101258	-0.22425075	-0.23291172	-0.29113004	0.006561841	0.2484946	-0.0026610754	-0.17772146	-0.025925336	0.19580175	0.13581043
ENSG00000110367	0.070291676	0.09203874	-0.0915053	-0.10432212	0.050393116	0.13755336	-0.08250822	0.12083565	0.05722614	-0.081069574	0.09581059	0.009286197	0.035247616	0.05130821	0.09010674	0.06808716	0.043660086	0.23240776	-0.071224965	-0.010389629	0.059839506	0.15057577	-0.119104885	-0.06545923	0.0980448	-0.1110316	0.07100284	0.07352206	0.09312123	0.093003705	-0.08617182	0.06536771	0.00035886094	0.13750768	0.010680384	0.10449634	-0.00847439	-0.06796635	-0.06476386	-0.051561624	-0.030370513	0.08688141	-0.0017450452	0.019396983	-0.048103787	-0.032941796	0.007900075	-0.12465211	-0.022567278	0.0393147	-0.09021074	0.033942215	0.050938696	0.031401947	-0.010112861	-0.09240684	0.07645426	-0.027519967	0.0028857403	0.10334614	-0.06134684	-0.12462346	-0.021550054	0.081180416
ENSG00000276045	-0.16871504	-0.06652371	0.15008025	-0.93483096	-0.16788888	-0.17979805	-0.7857449	0.5940954	-0.6487457	0.048046455	-0.2185332	-0.54309404	-0.31542647	0.34220916	-0.027907552	0.1581042	-0.38223314	0.725451	0.008053599	0.15673223	0.2662433	-0.035804242	0.6888902	-0.32784274	0.14949282	-0.12234164	0.5242784	-0.14537293	-0.15970756	0.24933141	-0.24596792	0.29034424	-0.10702339	0.39186135	0.17136073	0.12061908	0.015506675	0.5990326	-0.27643606	0.15293008	0.41884077	-1.0796192	0.37278637	0.018722784	0.20338057	0.11261743	0.76609445	-0.4662836	-0.016739873	-0.41919187	-0.26491794	-0.19784403	-0.62865335	-0.16709462	0.48321754	0.04631421	-0.3237764	0.24723053	-0.52262956	-0.15933536	-0.3101461	-0.22759962	0.046120528	-0.4311821
ENSG00000100023	0.083530925	0.082389936	-0.11562589	0.13445327	0.0025057793	-0.060813963	0.091472454	0.110039935	0.14194219	0.10590583	0.0063808067	-0.016919099	0.34518665	-0.21108997	0.06490564	-0.22306818	0.12884593	0.31680262	0.10894697	0.0006472757	-0.0944127	-0.12590621	-0.15200768	0.380029	0.04271648	0.16531129	0.037799414	0.09373686	-0.104044765	0.23705949	0.10219024	-0.16685303	-0.23156905	0.08394648	-0.077484615	0.16098714	-0.021250572	0.3160971	0.091359034	0.20131932	-0.0020990558	-0.04971093	0.09212733	0.08096076	-0.40605783	0.05444907	0.008947046	-0.08766055	0.13899124	-0.20196271	-0.098445	0.25896212	0.16352892	0.20741189	-0.03912562	0.002429098	-0.0057633817	-0.057615213	-0.11131284	0.08629379	-0.31501776	-0.015078066	-0.002470302	-0.057765502
ENSG00000070882	0.009109424	0.11226549	-0.04698626	-0.08911958	-3.8530678e-05	0.0602393	-0.031880807	0.07956312	0.08036868	-0.08557916	0.0069369106	-0.028639976	0.019304127	-0.11453686	0.080656454	-0.043552253	0.017711606	0.0011471598	-0.022280527	0.12160206	-0.06931868	0.09957902	-0.03011287	-0.009313388	0.051740035	-0.02105199	0.16781838	0.026829893	0.027545499	0.107431434	-0.023599103	0.018990045	0.021546965	0.08239151	-0.015163601	-0.0027594368	0.0028974945	0.13160947	0.08069274	-0.056192033	-0.040341794	0.019720858	0.047105394	-0.01911762	-0.0769538	0.012898954	-0.0194857	-0.07074163	-0.12091648	-0.0067921723	0.09134047	-0.02667534	-0.010341849	0.010785108	-0.08226408	-0.11423189	0.07129991	-0.016774729	-0.04517632	0.05056358	-0.011942357	-0.012265526	0.021373343	0.06304424
