gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000154928	0.0770094	0.03736643	0.1576314	0.050179146	-0.075618275	0.19747742	-0.10783037	-0.12330407	0.24814126	-0.030818835	0.049188092	-0.07782239	-0.08049142	-0.30643362	-0.004219426	-0.12986046	-0.07040207	0.09977041	-0.018675892	0.03466014	0.002661948	0.08522648	0.05375112	0.20289156	-0.08020409	0.20210044	0.16623572	0.029225897	0.018335452	-0.036517907	-0.18361351	0.012736099	-0.18887205	0.106512584	-0.060628325	-0.21512741	0.13368964	-0.0021717474	0.02376606	-0.049258523	0.013130626	-0.119795024	0.10667083	-0.16572449	0.04294274	-0.058786336	0.10557805	0.028137488	-0.011145383	-0.009833394	-0.10982994	-0.19246197	-0.17615548	0.0926771	-0.12026776	0.13127854	-0.021553133	0.0930887	-0.13328649	0.051754817	-0.13094561	0.009903112	-0.06661759	0.0062339157
ENSG00000182985	-0.051522065	0.046186246	-0.053721804	0.083041996	-0.02237904	-0.047955573	-0.060188834	-0.15670532	0.14815944	-0.06663503	-0.17708828	-0.038931884	0.14375298	-0.08564318	-0.104107365	-0.086083986	0.082017936	-0.05966274	-0.111748576	0.034135878	0.106086485	-0.046615712	0.042764846	0.12587234	-0.26523072	0.068641216	0.36679298	-0.18508914	0.2858057	-0.09369214	0.06912066	-0.13068277	-0.29844603	0.14488661	-0.08850368	-0.005012676	0.3054705	-0.12438835	-0.13264576	0.048641264	-0.13608427	0.036525134	-0.24024512	0.18499267	-0.21259782	0.10215083	-0.11286703	-0.059477776	-0.2006219	-0.41850626	-0.111932464	-0.025958601	-0.04327722	0.12286465	-0.18398264	0.12593855	0.18491021	0.17241897	-0.007918851	0.047633834	0.024997294	0.014017144	0.047115184	0.12635088
ENSG00000075945	-0.04144103	0.009228415	0.07774228	0.046251357	-0.11220169	0.062003985	1.5786849e-05	-0.054448556	0.08774614	-0.0033657309	-0.0526577	-0.016927887	0.11956636	0.019273592	0.08469276	-0.033848636	-0.038841434	0.07659006	-0.14420363	0.08376268	-0.0038211802	-0.010473782	0.07996525	0.0668427	-0.042253356	0.067562565	0.11558364	-0.06905722	-0.007837435	0.014964922	-0.11054794	-0.02923859	-0.035679106	-0.022098444	-0.026513467	-0.009180874	0.08031466	0.06702924	-0.09758906	0.050871618	-0.06610801	0.03617315	-0.012742968	0.0017627385	-0.024916418	-0.069210716	-0.071313515	-0.12089118	0.015188113	-0.04703697	-0.085394315	-0.079982944	0.05907128	0.120129965	0.01145404	-0.033816367	-0.07214509	0.032118022	0.010898802	-0.020847302	-0.032872096	-0.044683363	-0.01859328	-0.07600327
ENSG00000203786	0.03722355	-0.10976657	-0.112656035	-0.11954752	0.04132703	0.13880438	0.046570912	0.105476394	0.16569632	0.12248042	0.17226563	-0.07916749	0.008538397	-0.14354248	0.151215	0.112967335	-0.094066344	-0.01232687	0.04355235	0.08279745	-0.02816791	0.1357999	-0.047052782	-0.056091294	0.09600792	0.05122468	0.0014795791	0.12657228	0.036302514	0.0002162056	-0.25280032	0.008884992	-0.11988294	0.16777411	-0.10654163	-0.1429737	0.04950039	0.012455769	-0.2359581	0.10793885	-0.028155526	0.17178872	-0.06653162	0.034698725	0.057389274	0.014908032	-0.24097277	-0.112498514	-0.21841112	0.035008267	-0.31987333	-0.029021336	-0.08800426	0.047657907	0.0104153585	0.032162674	-0.08388607	-0.014212446	-0.110133	0.10127963	-0.022637505	0.09044029	-0.2186303	-0.07317117
ENSG00000136710	-0.106723346	0.14486256	0.40959042	0.19050993	0.15142001	-0.2660173	-0.27182987	-0.25238934	0.42660323	-0.17053863	-0.088795625	0.06475883	0.15470275	0.15667483	0.17602628	0.13087654	-0.032883313	0.13506338	-0.41571334	-0.087531164	0.13499998	-0.16204424	0.019908655	-0.027751572	0.007122976	0.08559555	-0.15668392	0.14357604	-0.02780023	0.400269	-0.42034206	0.41060475	-0.40288895	-0.10405571	0.13773376	-0.012186356	0.29556936	-0.24325472	-0.18734974	-0.18920684	0.117371924	-0.2160867	0.20315422	0.17554864	-0.24579969	0.041380126	0.071296796	0.04870747	-0.03998878	0.13548724	0.00047092699	-0.12485788	-0.33568335	0.11621426	0.23529951	0.0416994	0.03292897	0.09360787	0.082179755	0.3414955	-0.13038795	-0.12641856	-0.31648827	-0.11371504
ENSG00000167004	0.08270922	0.018581413	0.012902147	-0.033900484	-0.011192359	-0.0059970636	0.0151474355	0.046602953	0.103608	0.045071878	-0.0038342103	-0.017242642	0.023953311	0.016540326	0.009466092	0.019963004	-0.10654852	-0.011072926	-0.08265494	0.101468615	0.06309047	-0.05371639	0.010651018	-0.002533123	-0.017891359	0.017001502	0.13463677	-0.13665818	-0.051251203	0.04880468	-0.12643516	0.009843368	-0.0009603556	0.17404178	-0.106717035	-0.06793232	0.024696553	0.091817	-0.102508664	0.10197841	-0.13586785	0.01850822	-0.11795962	-0.03721901	0.01734089	-0.07082602	-0.13614069	-0.11955722	-0.00068730395	-0.026239052	-0.21193391	-0.004792515	-0.030716194	0.049443915	-0.011416493	0.041393206	-0.0052692303	-0.008125203	-0.004011603	0.0629376	0.036516704	0.07297745	-0.11982034	-0.0654599
ENSG00000204941	0.48175558	0.39851764	0.49967915	-0.21051575	-0.047830712	0.034907386	-0.071837984	-0.18378782	0.13162997	-0.29979715	-0.17852601	0.4957565	-0.076562144	0.07260429	0.36553624	-0.38208205	-0.53822076	-0.23576495	-0.16411139	0.011929257	-0.46931663	0.10172278	-0.5715149	0.101093285	-0.42232704	-0.11775783	0.054165766	0.3093668	0.37350318	0.12667401	-0.20582771	-0.19785534	-0.3374735	0.22015458	0.33321407	-0.50633585	0.039685816	-0.16872224	-0.009882294	-0.2833749	0.8574989	0.11337415	0.3713146	-0.042791434	0.10412508	-0.069587395	0.10355456	0.14080085	0.14422193	0.19849245	-0.096409254	-0.08203016	0.13461219	0.15629232	0.421217	0.25737658	-0.30932882	0.037297226	-0.31352842	0.2015907	0.03956744	-0.060894035	0.0459534	-0.2280257
ENSG00000124171	0.035779197	0.130766	-0.23151435	0.09636154	-0.021139085	-0.16978034	0.16476294	-0.2127145	-0.3501625	-0.22191703	-0.14381278	-0.11685381	-0.015689062	0.032890547	0.04323674	0.093906105	-0.0583731	0.14044456	0.086075224	-0.006925134	0.23469378	0.31590626	0.16040955	0.13508932	0.30436164	-0.061202206	0.038607426	0.025699269	0.15691319	-0.083032094	0.02702699	-0.22715959	-0.39919126	0.059980683	0.07674779	-0.4943164	-0.021470064	0.20362008	-0.25135553	0.13197216	0.098335385	0.2751652	-0.02671619	0.113546744	-0.22566481	0.22010463	-0.16292417	0.0015643518	0.059298024	-0.5952232	-0.13941087	0.024917388	0.107296154	-0.08523785	-0.062151525	-0.31627354	-0.07473949	-0.11225426	0.14617996	0.13232915	-0.21377559	-0.3771837	-0.0914217	-0.2667104
ENSG00000185669	0.2631583	0.06747975	-0.13022812	-0.7972901	0.33441216	0.02989353	0.025844712	0.84662724	0.2370911	-0.23392174	-0.16490608	-0.1582046	0.44654745	-1.1698225	-0.035263952	0.5874549	-0.19974487	0.2287491	0.28682905	-0.5408446	0.57550365	0.7134506	-0.22731362	-0.41665396	-0.4368386	0.5751553	0.03819719	0.18509972	0.41763923	0.2550791	-0.19529566	0.25841653	0.0142696835	0.52944726	-0.056352004	0.44634107	-0.5809606	-0.06329192	-0.900524	-0.3660048	0.3042832	-0.62928647	-0.03064798	-0.32727662	0.13826855	0.7385064	0.4640692	-0.33305082	-0.44491443	-0.27098092	0.05415249	0.45036712	0.2830421	-0.094195254	-0.07214881	-0.68979937	-0.23713674	-0.6274665	-0.38507262	0.45124722	0.063164204	-0.14603283	-0.33452463	0.8702613
ENSG00000152749	0.8338653	-0.037991792	0.43061978	-0.6923986	0.40704447	0.45479497	-0.25528058	-0.19350582	0.6846181	0.6958651	-0.23450573	-0.618145	-0.14325075	0.49344316	0.4136201	0.3301777	-0.50395906	0.5509417	-0.08361536	-0.34603733	0.29600528	0.28482234	0.05990252	-1.0289078	-0.2812279	0.24094729	0.03764364	0.34991637	0.28946686	-0.17901608	-0.53116065	0.4911881	-0.7261901	0.33864683	0.08829373	-0.5204232	0.75235415	-0.21698835	-0.5690298	0.07474756	-0.35052308	-0.124636404	-0.11748575	-0.59787446	0.2188942	-0.27681696	0.261685	-0.6944801	1.3281332	0.44279933	0.27422976	-0.34383875	-0.672065	0.13304289	-0.2532978	-0.18030365	0.5463551	0.47311887	0.72068447	0.663274	-0.44394225	0.25162888	-0.1387291	-0.19802648
