gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000154928	-0.025574714	-0.054849386	0.01578378	-0.20212314	-0.068250835	0.041838706	-0.07849201	0.1266751	0.12907092	0.027362105	-0.09145023	0.023570089	-0.07591429	0.08175118	0.049506236	0.09720176	-0.049629174	-0.05426167	-0.09207353	-0.1834757	0.09826657	-0.023517488	-0.007632559	-0.16783407	0.09820344	-0.120662525	0.06756838	0.042466935	-0.15222947	0.24730866	-0.0071917055	-0.096279606	-0.11550792	-0.08275621	-0.057944342	-0.19205435	-0.06423612	-0.096796155	0.12596534	0.12278563	-0.0128026055	-0.026809614	0.008873232	-0.035436697	-0.08353568	-0.028630257	-0.102988325	0.031035423	-0.055269055	-0.18775767	0.06594758	-0.023626482	-0.014417714	-0.030628037	-0.08612779	0.041284237	-0.2819861	0.038033586	-0.038320053	0.12934893	0.043961857	0.091584414	0.16501388	-0.051673982
ENSG00000110987	-0.13999012	0.051270574	-0.0034575001	-0.06126521	0.09238091	-0.087080285	0.10064998	-0.024596093	-0.014937557	0.05812589	0.08636561	-0.124777675	0.005185345	0.14865506	0.074177474	0.007844865	-0.14453852	0.017113274	0.05705839	0.0071070436	-0.05642096	-0.12486147	0.09515783	0.046147943	-0.081424475	-0.119111836	-0.018399611	0.012162658	-0.020984534	-0.024661807	0.045955237	0.028246626	-0.0070845685	-0.028241284	0.106663994	-0.008741336	0.12874268	0.074878864	-0.09897667	0.06692047	0.028224409	-0.11887781	-0.047236774	0.09814739	-0.076006696	-0.043513983	-0.09907292	0.03286357	0.07328024	-0.018503547	0.07600025	-0.009933145	-0.014792667	0.025885083	-0.008925682	0.05147729	0.19398487	0.042723402	-0.14757311	0.037993237	-0.00017195754	-0.16775756	0.18249556	-0.03666346
ENSG00000182985	-0.19551635	-0.018220134	0.0058951676	-0.14652714	-0.046309397	0.023917064	-0.09713548	0.20304008	0.030261088	0.24492013	0.19220912	-0.1707661	-0.32520252	0.12660018	0.0011829457	0.054264672	-0.08463078	0.023501528	0.11576912	0.08174008	-0.1484037	0.0419512	0.0002477232	0.0019353591	-0.07891415	-0.10489878	0.00018972938	-0.019489799	0.06656796	-0.12066269	0.20630796	0.01499028	-0.12213548	0.01936894	0.054577015	0.23351538	0.10471095	0.17730808	-0.008118359	0.120265454	0.3101279	-0.25037146	0.013992483	0.0034027658	0.16981427	0.04243026	-0.16891235	-0.03567535	0.22494312	-0.16136701	0.114786685	-0.21657492	-0.099141695	-0.09739972	-0.16805808	0.052158255	0.086353585	-0.09516448	-0.054593693	0.0464464	0.078164905	0.013575517	0.14323854	-0.30076218
ENSG00000075945	0.3077876	-0.27867278	-0.08751457	-0.022765916	0.16212021	0.017133642	0.1386892	0.031470526	-0.02507836	0.15178306	-0.040043276	0.33353794	0.12509407	0.12125257	0.13715549	0.074969046	-0.06515287	-0.28757986	0.027621854	0.056922782	0.06767623	0.089906074	-0.12170856	-0.08102856	-0.20175296	-0.1729583	0.18956864	-0.06765682	-0.06081543	0.16250758	-0.0956946	0.13774867	-0.15137014	-0.043101296	0.20231874	-0.23664333	0.15904322	-0.08559479	0.12349585	0.13198051	0.071976885	-0.05659802	-0.13776697	-0.04756603	-0.2609953	-0.1793579	0.045223214	0.01339791	0.011277268	-0.031777017	-0.013878155	-0.13006262	-0.07093151	0.1094733	-0.12198896	-0.0025305306	0.041981485	0.116118744	0.04468083	0.014317508	-0.18710577	-0.038354874	-0.11958479	0.22656438
ENSG00000203786	-0.49428692	-0.20734687	0.42386097	-0.39882505	0.11828034	0.27214766	0.47359625	0.25240883	-0.22732523	0.018001357	0.27964103	-0.20148203	0.0660927	0.12058782	0.12046379	-0.23619318	0.28808445	0.17611216	-0.18122278	0.18268314	-0.3346224	-0.3608497	-0.32956976	-0.07317005	-0.0343137	-0.2648091	-0.065005995	0.16697146	-0.12842764	0.3358924	0.11332758	-0.073858164	-0.24157463	0.17471008	-0.0090361	0.03934145	0.027906973	0.018631939	-0.14268564	0.1049919	0.042564936	0.08048844	0.14933828	0.38372412	0.15564463	-0.09645997	0.30066028	0.4631045	-0.24603084	0.21188198	0.10223219	0.31599355	0.25893882	-0.4737441	-0.21175541	-0.26696625	-0.15078928	-0.16152951	0.23212987	0.14777058	0.0042437427	-0.03710921	-0.0071940944	-0.64970464
ENSG00000136710	-0.07211273	0.012118319	0.10970408	-0.04176959	-0.08725855	-3.919471e-05	0.08217045	0.17549193	0.07480478	0.11887957	-0.01982098	0.07660475	-0.09880041	-0.048127983	-0.018758288	-0.05745659	-0.06783377	-0.1167056	0.07522285	-0.04722016	0.00815248	-0.098789126	0.06869458	-0.05183402	-0.07739665	-0.018952671	0.13135782	0.011607535	-0.025923561	-0.09534762	-0.1225413	-0.100121476	-0.05127667	-0.018753942	0.029312389	-0.13567896	-0.07546684	-0.061194174	0.105980106	0.12642278	0.096465066	-0.005657777	0.11687189	-0.018571692	0.08842806	0.10537669	0.06116932	0.06608049	-0.081287175	-0.1384173	-0.054857727	-0.12535171	0.02078421	-0.18005624	0.020273572	-0.008351361	-0.020520806	0.021723408	-0.18500628	0.017297257	0.11506499	0.03613195	0.007977553	-0.07588417
ENSG00000167004	0.083481185	0.053863376	0.10578519	0.04406422	0.014250027	-0.15903354	0.30770123	0.07106935	-0.2572501	-0.08551488	-0.13148648	0.043496117	-0.02223392	0.01582535	-0.19250849	0.1388613	0.1181139	0.1323211	-0.13226952	0.09458943	0.094150074	-0.21615535	0.28949112	-0.0605862	0.023852266	0.019534463	0.34327924	-0.15249692	0.07042289	0.046122216	0.035196666	0.08613003	-0.2106151	-0.09055028	-0.06497522	-0.07456414	0.15135585	0.065346554	0.0013818685	0.14631535	0.0017189076	-0.062015228	0.15848339	0.095314756	-0.0077497736	-0.21955743	-0.20370114	0.08383839	-0.06972678	-0.24960291	-0.10353193	0.053037472	-0.07322142	-0.13041764	-0.19548173	0.14612752	-0.08576307	0.115509495	0.014743429	0.10754883	-0.011309873	0.082903184	0.03391185	0.125358
ENSG00000204941	-0.26854774	-0.09090739	0.42936477	-0.48877552	0.3201859	0.052235898	-0.1682718	0.32734573	-0.000307763	0.5008443	0.11881819	0.32203352	-0.061328106	0.15489233	0.08706678	-0.029712882	-0.19065465	0.2244711	-0.023028072	0.35960963	-0.2432833	-0.14665739	0.15533485	0.055656545	-0.054107673	-0.26291406	0.19083811	0.5921096	-0.14826909	-0.18199566	-0.30206886	0.05935905	0.12803288	-0.44455773	-0.3462992	-0.4276312	-0.23663543	-0.028448801	0.3954276	-0.45999086	0.43712407	-0.03777525	-0.27755398	-0.13086367	-0.2758473	0.45437488	0.0073768664	-0.075914174	0.24454021	-0.19089329	0.014896491	0.4246269	0.26435578	0.26919082	0.25240895	0.15555999	0.48060283	0.18355003	-0.26499632	-0.036001835	-0.024641056	0.1599065	0.031733405	0.028461032
ENSG00000132915	-0.03527665	-0.39280167	-0.029174227	-0.10003708	0.20858197	-0.15918916	0.15532516	-0.08079787	0.056597378	0.21442896	0.11318943	0.12997015	0.105352126	0.24338597	-0.025821077	-0.15281665	0.12359307	-0.046141952	-0.05806751	0.19736077	0.029939428	-0.11375126	-0.3243082	0.098879695	0.067729466	0.20817712	-0.5041204	-0.011394851	0.26435748	-0.075236246	0.1222519	0.12089994	0.4633886	-0.25077122	0.1390133	0.020990275	0.03427186	0.10963397	0.16496477	-0.048602387	0.12172565	-0.39676744	-0.07338774	-0.13082822	-0.14712548	0.24209885	0.23798302	0.24143364	0.10774922	-0.098990135	0.004718103	-0.035194896	-0.059297208	-0.07404235	0.18298349	-0.03554527	0.20887883	0.027598113	-0.44576326	-0.10016656	0.2888214	-0.09197477	0.106270514	0.055456344
ENSG00000124171	0.023308873	-0.2687578	-0.0028425371	-0.13581942	-0.13942349	0.11764627	0.101106815	-0.043345466	0.094764486	-0.09037797	-0.0026545692	0.2719382	0.098117195	-0.044111323	-0.06401935	0.06743747	-0.004768095	0.016401595	-0.17797525	-0.10409221	-0.007210071	-0.0039850827	-0.12710023	-0.02280134	0.1501965	-0.14708011	-0.11727663	-0.105065405	-0.02969129	0.13391145	-0.04382575	0.18683398	-0.08556668	-0.057582755	-0.09676818	-0.09603603	-0.0037487745	0.05651351	0.15840967	0.032539368	-0.06920072	0.0649792	0.050045643	-0.23612472	0.16377102	-0.09883722	0.1061782	-0.039567392	-0.035815768	-0.06447741	-0.052818682	0.2889042	-0.06405928	-0.19230208	0.113662496	0.060493298	-0.13190083	-0.058403116	-0.010555346	0.17462651	0.07591754	-0.04762844	-0.02714251	0.1478668
