gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000128591	0.042548224	-0.023641353	-0.06986177	-0.07538875	0.00093821157	0.0267156	0.06592184	-0.014954492	0.04691917	0.081879154	-0.0006251428	0.0035829172	-0.11683045	-0.0378324	-0.0460317	-0.01676246	0.0014129933	0.021360202	-0.06482323	-0.004565427	0.037638597	-0.009476967	-0.073736876	0.065242335	0.061344188	0.16229165	-0.061786957	0.046661563	0.058818422	0.075749345	-0.097460486	0.059956964	0.057762183	0.035658505	-0.04042316	0.048884865	0.04714923	0.08773647	0.02098398	-0.15194052	0.08085647	0.02717051	-0.09045266	0.07874589	-0.074998505	0.020007115	-0.0565793	0.043041803	0.07970413	-0.0065873098	0.023841685	0.041349772	0.10138364	-0.104920216	0.08549925	-0.068801805	0.08241243	0.022955842	-0.06213259	-0.09324798	0.007560241	0.07615991	-0.054672524	0.05222124
ENSG00000149292	0.040859953	-0.283102	0.022909157	0.19122627	-0.5103845	-0.017191166	0.5765749	0.0063448716	-0.8797109	-0.48555735	-1.2496929	0.48240876	-0.5095641	0.60039365	0.34434524	-0.68841195	0.418235	-0.45444304	0.2677045	0.23976415	0.593159	0.11418906	-0.34847042	-0.8092876	-0.2767	0.5310683	-0.108280234	-1.0594538	0.5768038	0.34663862	0.344065	-0.08196302	0.32480738	0.39124683	-0.15100384	0.5405611	0.096381724	-0.4233475	-0.43382686	0.31577945	-0.20967633	0.37323567	0.2477299	0.09817187	-0.32941276	0.04726754	0.58799917	0.22978202	1.2358613	-0.20153749	-1.4008487	-0.73241174	-1.1361477	-0.17900102	-0.10104947	1.494985	-0.8189883	-0.10110579	-0.47284436	-0.74382854	0.18461001	1.1503623	0.04117539	-0.96538913
ENSG00000168288	0.3431093	-0.26510605	0.025940381	-0.2228694	-0.36069527	0.10203664	0.29908556	0.067227036	0.17618121	0.19361958	0.16851284	-0.29123837	-0.018187724	0.01693452	-0.21915998	-0.10662979	0.22008201	-0.19769323	-0.1718665	-0.12615204	-0.13317263	-0.2259086	0.31623995	-0.057235427	0.16702558	0.0003107004	0.13566594	-0.16087072	-0.4986533	-0.22364204	-0.0139361825	0.45637977	-0.13516912	0.121884175	0.34570596	0.05755967	0.39700794	0.047097173	0.07813339	-0.4358568	0.11613517	0.1046394	-0.119277865	0.120101675	-0.27906004	-0.4689032	-0.23899493	0.31723952	0.31786495	-0.20526579	-0.041983828	-0.23195681	0.11349765	-0.27089697	0.439057	0.16401611	0.13963568	-0.041216854	-0.23428184	-0.16136418	0.30059662	0.36362037	-0.104055636	0.2585857
ENSG00000085063	-0.26418746	0.12319812	0.072464205	0.14615014	-0.2654993	0.18433	0.35515782	-0.07898324	-0.43011624	-0.15737475	0.15422168	0.08495975	0.1840251	0.00027476845	-0.06474834	0.050444808	0.15735349	-0.09887028	-0.14066362	-0.14740168	-0.014797099	0.25922593	-0.13963625	0.1320211	-0.04964355	0.050775405	0.25358662	-0.06430583	-0.13195954	0.15059218	-0.30491826	0.16260542	-0.15574035	-0.056376223	-0.17217337	-0.043937694	0.030700173	0.11803392	0.17258306	-0.08953772	0.09920191	0.018641591	-0.279129	0.10904142	-0.11548376	0.13276322	0.048854627	0.097255304	-0.3485929	0.0040264037	-0.09395999	-0.15772496	0.2179816	-0.048810046	0.1541243	0.033659827	0.053875547	0.06853089	-0.33842334	-0.088070124	-0.06295927	0.22268592	-0.037432674	0.14320846
ENSG00000188313	0.05788829	0.05922439	-0.2288399	0.15624672	0.15528156	0.023883274	-0.04845489	0.01257638	-0.019323362	-0.056801874	0.0009535551	0.01812049	-0.14357598	-0.15324813	0.03291855	0.10210456	0.2756269	-0.06421204	0.057184454	0.18752557	-0.10594547	-0.011396501	0.10511932	-0.018580234	0.22546983	0.08377862	0.1404491	0.15629327	-0.020461306	-0.097598195	-0.22345847	-0.029445445	0.07084182	-0.17680919	0.18006496	-0.063451	0.08695284	0.25069	-0.0992836	-0.08182087	0.19985716	-0.009380055	0.003769623	0.0911269	-0.24081078	-0.25023413	-0.12175595	0.255027	0.10905864	0.0059572104	0.11301212	0.071435764	0.17870966	-0.16054477	0.1923178	-0.17973109	0.15419096	0.08448466	0.03348648	0.078922585	-0.06302896	0.07823944	-0.092036486	0.17024834
ENSG00000167193	-0.020137146	0.01132512	-0.03477259	0.0068312027	-0.052852504	-0.0076425653	0.12393592	0.0003196143	-0.052655675	-0.030014824	0.09305357	0.13618103	-0.02861963	0.15366696	-0.046009675	0.16800877	-0.029204736	-0.05748745	-0.047290657	-0.029582106	-0.05647078	0.05270404	-0.007435856	0.18891068	-0.06992424	0.07422674	-0.12910761	0.007844391	-0.16606218	-0.08290133	-0.17406192	0.13513626	0.036202572	0.033908624	0.06324635	0.16813123	-0.02398758	0.2065895	0.0015439847	-0.28759187	0.13091196	-0.014504184	-0.16985795	-0.001915277	-0.050863825	0.11969174	0.1065307	0.05143418	-0.00047438324	0.086730614	0.044385996	-0.029077608	0.050191216	-0.019566242	0.17233077	-0.048984677	0.11343934	-0.1406458	0.025840657	-0.25571138	0.018155973	0.027776647	0.05264472	0.0857591
ENSG00000111237	0.002636017	0.11657348	-0.08453074	-0.10806761	-0.0767651	-0.079954095	0.21654943	0.012432324	-0.08330998	0.0757052	-0.12037979	0.08312259	0.05178222	-0.0023828726	0.12549178	-0.020529903	0.05297353	0.10113161	-0.03803011	-0.014342604	-0.044887535	-0.052248307	0.081998065	0.027590169	-0.01604182	0.13152015	0.04287239	-0.020438025	0.06865286	-0.08724416	-0.103617765	0.11532227	0.19478416	-0.07091861	-0.0111449165	0.14988843	0.09202281	0.04259284	-0.06894059	-0.15728743	-0.0051415474	-0.04174116	-0.08884695	-0.056127414	0.00446775	0.0962739	-0.15575941	0.024514126	0.19020316	-0.119195856	0.030764284	0.031512633	0.025308555	-0.21386011	-0.07733665	-0.03643361	-0.05920058	0.05037051	-0.064473264	-0.033105474	-0.04264697	-0.0376747	0.055967007	0.10510403
ENSG00000261221	-0.060211327	0.12918434	-0.028417159	-0.010967659	0.02339013	0.058500767	-0.06564762	-0.06888644	-0.0576136	-0.08917971	-0.021426754	0.12072034	0.121954374	-0.008950405	0.14453335	0.21328798	0.009284886	0.119858235	0.15853986	-0.13591643	-0.11725923	0.01853299	-0.20127556	0.059293404	0.032624867	0.044470847	-0.16465837	0.03215368	-0.088978134	-0.017827323	-0.02102863	-0.04915302	0.1541218	0.0038560666	-0.051395413	0.062093407	0.09700207	0.08932072	-0.027561724	-0.06365628	0.24655518	-0.013495524	-0.12135789	0.06265766	-0.016320137	0.14611137	0.14793363	0.09120613	-0.01985384	0.02163686	0.087251194	-0.053351324	-0.013152694	-0.11775801	-0.033149898	-0.07796916	0.104989916	-0.10751047	0.03595386	-0.10184348	0.040280964	0.12922105	-0.003972938	-0.074324295
ENSG00000168421	-0.13013908	-0.05124402	-0.19221038	0.53347933	0.16026786	-0.24307992	0.29489762	0.018963667	-0.6179337	-0.010545361	-0.3378004	-0.13271347	-0.57208717	0.10354739	1.0044544	0.14180969	-0.33813798	0.27018684	0.267	0.44314852	-0.69838965	0.61273265	0.4291196	0.72570354	0.81989086	0.013768073	0.44497973	-0.3652009	-0.4981341	-0.28455225	0.5632099	-0.12690079	-0.4637563	0.6459293	-0.35080925	0.0013703426	-0.9170922	-0.23379776	-0.01867741	1.0149323	-0.56942666	0.57080275	0.10975776	-0.12262467	0.5447932	-0.6403165	0.3397451	-0.017274505	0.9150747	0.7935416	-0.22642575	-1.1012999	-0.2807304	-0.02345359	0.45160058	0.89787304	0.40748844	0.58286506	0.81120646	-0.15439506	-0.88729215	0.4522027	-0.07742668	-0.14968653
ENSG00000112096	-0.059810642	0.19315298	0.027036242	-0.2557515	0.14730804	-0.021371903	0.11124736	-0.08962482	-0.07416849	-0.022218464	-0.24884243	0.14788546	-0.32832378	-0.09420817	-0.041583255	0.18484718	-0.057683036	0.09747793	-0.06308106	0.07944814	0.07084323	-0.01953203	0.006696167	0.24021716	-0.20259161	0.29891098	0.18354483	-0.24794766	-0.026576225	0.13476072	0.093502134	0.22567046	-0.29675078	-0.089302085	0.10843807	-0.082468	0.22095159	0.17016521	0.06743785	0.029867357	0.017288882	0.16917346	-0.21964672	-0.16016972	-0.13337816	-0.18613546	0.045464262	-0.25208297	0.06734864	-0.12932105	0.14139369	-0.05816583	0.28055194	0.046654772	-0.25612527	-0.14708985	0.1344338	0.2536875	0.12511322	-0.047833867	-0.2180122	-0.014082592	-0.018909765	-0.04783763
