gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000157219	0.033706024	-0.02026872	-0.00020181481	0.011293638	0.028458556	-0.019158054	0.010381037	-0.09152018	0.02252405	0.015707891	0.028689666	0.07341775	-0.065645576	0.03205379	0.077805996	0.010308997	0.022056114	-0.043327115	-0.008050741	0.014980938	0.06434486	-0.04687073	-0.10473827	0.018768555	0.0028838422	0.062069137	-0.080996096	-0.008633061	-0.019829577	-0.040779423	0.029565169	-0.046578474	-0.027900998	-0.022869822	-0.05591066	-0.08392973	-0.034626253	0.09858826	-0.02076036	-0.038437717	-0.021855338	0.072400704	-0.011685809	0.06542998	0.063129716	-0.041917015	0.05008154	-0.0487232	0.050716367	0.038740736	-0.104898654	0.060187865	0.027733548	0.07918239	-0.020716216	0.069227576	0.013769811	-0.028652221	0.08539704	-0.015651582	0.091595456	-0.043659173	-0.026340585	0.06071764
ENSG00000123636	0.26227537	0.1169091	-0.14534697	-0.25158003	0.21082696	0.011739338	0.31013876	0.13205838	-0.21911958	0.25225988	0.057730928	0.12157771	0.033318575	-0.17021266	0.22448629	-0.12108114	-0.30083597	0.06710824	0.06446403	0.18388031	-0.061651327	0.23856033	0.06532754	0.21782586	-0.15672623	0.15276341	0.19475554	0.3129437	-0.28912103	-0.0034984648	0.24643452	-0.06911721	0.25088617	0.010116442	0.09400896	0.11267007	-0.18322521	0.14949365	-0.0054190196	-0.022574035	-0.18729733	0.21932638	0.030044472	0.0114179365	0.06869488	0.20111036	0.0436095	-0.05797214	-0.13947472	0.26183027	0.25536552	0.11186089	-0.082960695	0.104803376	-0.26402375	-0.15824103	-0.23059793	-0.16533747	0.11597861	-0.12366667	0.35450795	-0.21297768	0.10418465	0.09935821
ENSG00000128294	0.059524693	0.13681608	-0.076031305	-0.15376712	0.06518853	0.099132195	0.31551573	0.18635796	0.016657112	-0.017893799	0.009419635	0.0017056335	-0.08905245	0.17709158	0.23915398	-0.010893137	-0.14602932	0.0150046535	-0.16312516	0.14591445	-0.06826311	-0.056077402	0.106876016	-0.25952718	0.14478	0.0069825677	-0.0897376	-0.1378545	-0.03905976	0.2519346	-0.10822532	0.094644755	0.26225677	-0.016612673	0.12349764	0.07303303	0.20175746	0.1852858	0.052075375	-0.35950422	-0.10537143	-0.15094759	-0.16636808	-0.23144504	0.092178345	-0.06703856	0.3139405	-0.10646719	0.22639927	0.3568067	0.05433304	-0.09645797	0.18053843	0.3285972	0.082366094	0.12344953	0.044686727	0.28154403	0.03576912	-0.0130160265	0.07254876	-0.13137278	0.13677236	-0.24132189
ENSG00000143862	-0.122129366	-0.0644565	0.059679754	-0.13093273	-0.123088695	0.313972	-0.32498112	-0.62986696	-0.16522895	-0.30814317	0.04318596	0.1513832	-0.0025653746	0.2039276	-0.015070379	-0.17616805	-0.22018209	-0.2138455	0.28683305	-0.042433225	-0.1281509	0.14633821	-0.012816625	0.07632611	-0.07104969	0.5441917	-0.25337216	0.17024468	-0.12113049	0.1278995	-0.16987817	-0.18762664	-0.4868861	-0.0032196483	0.13083127	0.19091392	-0.14231952	0.14917284	0.064296424	-0.26066098	-0.0032703672	0.43503743	-0.18269697	0.16589499	0.16001764	-0.055992637	-0.23428074	0.13537957	0.041169766	0.1843282	0.016752124	-0.15602206	-0.034879446	0.12407193	-0.00801054	0.17267361	0.034390897	-0.4498883	0.029651763	-0.07832047	0.2677907	0.25519943	-0.3296455	-0.097483695
ENSG00000103528	0.1307822	0.2529005	0.23656578	0.03613752	0.053025752	0.059101686	-0.08507464	0.09825791	0.03902421	0.04698294	-0.14726382	0.06598875	-0.3777297	0.119422555	-0.07199313	-0.26993668	-0.10318204	0.1649128	-0.22526956	-0.13635553	0.020503666	-0.08752449	-0.068038195	0.23530501	0.1538898	-0.10822791	-0.0957383	-0.14165953	-0.02514136	0.046073757	0.17864512	0.055901814	0.23817615	0.29296848	-0.15281694	-0.24208881	-0.18479295	0.11955258	0.26278508	-0.3354401	0.057195418	-0.008621729	-0.0324656	-0.15472695	0.076245144	0.12936649	0.09906015	-0.09697714	0.0069305957	0.07074402	0.0033517638	-0.009867519	0.15805878	0.21944779	0.3549395	-0.007910915	0.034353316	-0.050704796	0.010184623	0.06252867	0.09309616	-0.37614602	0.10354012	0.27564692
ENSG00000002919	0.018605852	0.071924634	0.0133764325	-0.15940529	-0.03589426	0.06975445	0.16986264	0.020610139	-0.09513185	-0.0796402	0.07126027	0.028014384	-0.028098935	0.17856671	0.1346206	-0.060789343	-0.06861432	-0.09859278	-0.089052245	-0.009005969	0.08262195	-0.1453376	0.18820958	-0.09201129	0.13638197	0.16180247	-0.045369647	-0.06748368	-0.07303961	0.054269426	-0.105416164	0.18252277	0.24443577	-0.13021727	0.06103134	0.04724436	0.07978143	0.022410877	-0.051571283	-0.24685806	-0.053119577	0.0745501	-0.04183147	-0.033725515	0.19498585	0.044458065	0.116871186	0.18592672	0.02898274	0.10003423	0.042331614	-0.09128042	0.01078531	0.13572788	0.13863753	0.29424235	0.05914837	0.11328045	0.031461433	-0.18473168	0.024819206	-0.2223806	0.08922796	-0.198306
ENSG00000137274	-0.23214406	-0.09046749	-0.13564229	0.09453879	0.34852308	-0.26044756	0.32202855	0.24833967	-0.32447094	0.42231917	-0.20432271	0.053511664	-0.23601304	0.026818817	0.30559102	-0.022069912	0.12517385	-0.04132863	0.049896415	0.2570239	-0.5293323	-0.12526545	0.20974949	0.14131647	-0.18351632	-0.32243964	-0.07597402	0.2615453	0.20691659	-0.017444633	-0.3084419	0.0977463	-0.08522538	-0.07523033	0.301916	0.0442155	0.06940043	0.409864	0.12882634	-0.7288436	0.2251977	-0.26944798	0.06417208	-0.022106	0.3830589	-0.0844076	0.12878434	0.16889867	0.0227803	0.64099777	0.11121232	0.39557216	-0.114757895	0.11486513	0.23923798	0.45807284	0.0417421	0.1312295	-0.19064574	-0.023612184	0.2819758	-0.3166806	-0.23158088	0.2560681
ENSG00000196263	0.41525424	-0.28690445	-0.14170772	-0.49377763	0.57819885	0.23992875	-0.7677226	-0.7184114	0.51683503	-0.40577397	-0.12093459	0.23426008	-0.0135256015	-0.040283192	-0.08585328	-0.34207642	0.003705889	-0.6117214	0.025374833	-0.22522344	0.70756984	0.0091387145	-0.33526707	0.51647955	-0.12144034	0.13977145	-0.57075065	0.006978005	-0.0458254	-0.46595046	0.5072873	0.17425273	-0.4048983	-0.47848856	-0.5524505	-0.23857607	0.006192088	0.1400886	0.2513391	0.18160027	-0.2741599	0.16155653	0.07327019	0.16520095	0.07594719	-0.16843551	-0.479574	-0.22794381	0.2937168	0.23734711	-0.16864981	0.2798531	0.13701645	0.5475551	0.18468995	-0.09721411	-0.33968258	0.023436576	0.27814174	0.4040732	0.8161154	-0.1037038	-0.19790785	0.3274981
ENSG00000198000	0.15069096	-0.01625869	0.16868003	-0.015546129	0.00981343	0.002628339	-0.074900195	-0.032608777	-0.0077467905	-0.1094051	-0.024365835	0.1065639	0.023509715	0.08032097	0.017603606	-0.0439188	-0.0021366067	0.00026377663	-0.056849085	-0.00837546	-0.030166142	-0.090699255	-0.017150829	-0.0014914353	-0.034847368	0.022679757	-0.0691007	-0.057262316	0.007573072	0.10931176	0.04921947	0.03427546	0.029806022	0.041917887	-0.03821093	0.10167692	0.029689662	0.06407615	0.15951782	-0.10471086	-0.0086968215	-0.046648897	-0.024947392	-0.024949446	-0.033718966	-0.0798823	-0.03910981	-0.02204218	-0.04727091	0.06846887	-0.04733868	-0.10717821	-0.005150685	0.008001793	-0.06176247	0.11991995	0.08572482	-0.058394715	0.029045887	-0.1330863	0.099241085	-0.031951617	-0.001763952	-0.07808238
ENSG00000276799	-0.02265517	0.09533261	-0.056847833	-0.16676663	-0.26704264	0.09184678	0.46736312	-0.030968979	-0.1586237	-0.16093855	0.039687246	0.21361496	0.27110872	0.42756724	0.018662684	-0.34130356	-0.054855976	-0.013628781	0.09982352	0.0724616	-0.473862	-0.3492264	0.3261956	0.041632775	-0.024574395	0.39275134	0.08738057	0.064471215	-0.17013155	-0.14064884	-0.003092889	0.109328516	0.067600854	0.051873136	-0.04258859	-0.029809333	-0.4057589	0.076670304	0.14582461	-0.42597878	-0.12249038	0.07432083	0.15429181	-0.056721695	0.2395232	-0.091684066	-0.070792615	0.004715388	0.1313025	0.027662374	0.4483314	-0.105472706	0.063442	-0.015378866	0.06629178	0.05236233	-0.15203972	-0.13694447	0.073736936	-0.27959442	-0.17573407	-0.006415084	-0.010449808	-0.32406917
