gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000104881	-0.0023782435	0.039832518	-0.04737118	0.04169433	0.00048503233	-0.043209128	-0.03803858	-0.079472184	0.012937375	0.008206874	-0.045579076	0.043113105	-0.097631395	0.073529005	0.08261812	0.007821873	-0.03905666	0.03861261	-0.047209203	0.0061279293	0.025408363	-0.032001797	-0.05892748	-0.028785273	0.020737393	0.019632336	-0.064541206	-0.05142744	0.01374842	0.01846213	-0.0045438353	-0.083931014	0.023712706	-0.04634801	0.025206644	-0.064440206	0.10691169	0.02213893	-0.081082374	-0.024420131	0.012932445	-0.025233783	-0.0038585896	0.012534974	-0.076711744	0.0012992276	-0.031574395	0.040370263	0.009365237	0.005897166	-0.029934239	-0.03797053	-0.031727497	-0.04060945	-0.032486998	0.053581525	-0.028244149	0.046348363	0.0030325633	-0.0002299957	-0.073935844	-0.056247815	-0.053460885	-0.019702371
ENSG00000132964	-0.015729943	0.109993145	-0.04972869	0.08137277	-0.017608332	-0.045400836	-0.0718454	-0.044286776	0.017689124	0.040833	-0.010805769	0.083062254	-0.0691379	0.045753285	0.015703216	0.057429813	0.009032626	0.06952804	-0.037529152	-0.046970688	0.114804104	0.008766647	0.0107171135	0.011103481	0.02737879	0.10910548	-0.103693925	-0.08821005	0.07134656	0.0629658	0.0024844743	-0.024436736	-0.022222597	0.021227054	-0.043449022	-0.14522079	0.07592675	-0.0644936	-0.18333264	-0.03074668	0.004358514	0.06315734	-0.02033624	-0.052297346	-0.072328806	-0.011245679	-0.008802164	0.06956053	0.01424469	-0.02733559	-0.008340188	-0.13164277	-0.090735935	-0.052662995	-0.11118923	0.08037792	0.024287932	0.022037657	-0.13409443	-0.065646745	-0.04891745	-0.0033994485	0.011981724	-0.034051616
ENSG00000145949	-0.058934823	0.26558092	-0.15048695	0.024405958	0.034104023	-0.0883012	0.06354228	-0.10562764	-0.04623888	-0.043889444	0.12088475	0.074975245	0.0028822012	-0.18435492	-0.081254065	-0.06913093	0.029579971	0.037588723	-0.083648376	0.0070001334	-0.03973719	-0.028946973	-0.18212852	0.09274019	-0.05085253	0.0019085063	0.02942047	-0.08794643	0.35096082	0.18501973	0.17632186	0.106437445	0.04042691	0.06304555	-0.01037541	0.04720543	0.13096827	0.07536997	0.029032664	0.010661225	-0.08753036	0.13691339	-0.19383556	0.1911476	-0.064217284	-0.013443122	-0.20800671	0.1108674	-0.1750238	-0.049008213	-0.12220123	-0.09488938	0.10403595	-0.16166288	0.19642699	-0.015648447	-0.1002707	0.020995103	-0.0153738465	0.07998072	-0.021662354	0.11559098	-0.02479994	0.24433923
ENSG00000100290	-0.19944946	0.2021759	0.13842037	0.15889627	-0.06176282	0.059954487	-0.04566179	0.34956583	0.12085514	0.57131207	0.07043965	0.010633916	0.12655894	0.19293815	0.16209514	0.2995414	0.19045669	0.13628182	0.22263636	-0.30553508	0.30947694	0.05934269	0.19067426	-0.12557185	0.038123704	-0.019989971	0.17924105	-0.10736671	-0.13720748	-0.24260844	-0.2240501	0.0153103955	0.2311478	-0.17244416	-0.13935128	0.18741632	0.2377749	0.024199609	0.04771311	0.050916143	-0.0043272274	-0.09743511	0.028546378	-0.29317012	-0.2731364	-0.023295257	-0.08887792	0.28967828	0.25019836	0.124201916	-0.14496928	-0.05848847	-0.10309069	0.2597416	0.112573154	-0.057846535	-0.091607876	-0.094193205	0.034170818	-0.04655636	0.04513661	-0.017992288	-0.5273514	-0.31384617
ENSG00000287080	0.020889597	0.108345784	0.0030864014	-0.1554734	-0.1436948	0.051386684	0.08026383	0.047414657	0.051379744	0.20338288	0.009532893	0.1456304	0.056158293	-0.052801915	0.16063729	0.25508928	0.09577339	-0.23700373	0.0333482	0.18783976	0.095611095	-0.1576007	-0.10700344	0.17620856	0.0331948	0.10781937	0.12264534	-0.017372577	-0.007765373	-0.017135467	-0.09301332	0.12565239	0.054515388	0.04817658	0.07894078	-0.10107547	0.07120088	-0.0793791	-0.038084753	-0.011194445	0.114093736	0.18903159	0.026327804	0.17818357	0.17883253	-0.052394025	0.107915774	0.08141625	0.011342357	-0.083570115	-0.049414054	-0.010374447	0.105188325	0.055397794	0.21624231	-0.1250761	-0.022285925	0.0228974	0.14686748	-0.015024026	0.12294657	0.030949848	-0.12736504	0.016995758
ENSG00000085276	-0.035781518	0.022115136	0.23322266	0.1341421	0.0023918352	0.22941723	0.19346963	0.28117323	0.089005634	0.11160746	-0.19141911	0.14499766	-0.22424254	-0.07244969	0.26964858	-0.083658874	0.09362473	-0.057373885	0.23422688	0.09736491	-0.061679658	-0.09784016	-0.19867532	0.17072028	0.3786825	-0.1833051	0.015869059	0.06711383	0.4419251	-0.120029874	0.24506441	-0.50229424	-0.005155974	-0.017338272	0.21198735	-0.0033049546	0.08639367	-0.078022346	0.029858002	-0.14149438	-0.06823282	-0.10689226	0.034051973	-0.05581218	-0.52058226	0.056775242	0.17700197	0.22342008	-0.06887759	-0.042096883	-0.14689152	-0.033086255	0.24012575	0.018082883	0.106671356	0.13470471	0.29572675	0.23958294	-0.3213963	-0.16925067	0.1275888	0.1055616	0.14667255	-0.08911017
ENSG00000283009	0.033866316	0.06070794	0.031189045	0.08494775	0.0703472	-0.01643766	-0.088194355	-0.009237599	0.07763482	-0.06383684	-0.05704815	0.0392858	-0.076865315	-0.036290564	-0.009369116	0.13724145	-0.10016783	-0.024209544	-0.09326517	0.05318617	0.08873391	0.037434287	0.06364819	0.13155723	0.034885176	0.096334025	-0.06408658	-0.18392393	0.0030875187	-0.009573089	0.15576756	0.0914928	0.042768367	-0.13404435	0.10320045	-0.10309391	0.06787112	-0.020063203	-0.056840643	-0.061133347	-0.042464282	0.06135596	-0.031410784	0.025091548	0.019015994	-0.01895953	-0.07759859	-0.023618644	-0.122241296	-0.07183293	-0.015535981	-0.0005603405	0.055497654	0.016961847	-0.044951387	-0.13725217	-0.098724864	0.046689987	0.013654068	-0.11069889	-0.12413033	-0.12655205	-0.085407846	0.001661987
ENSG00000215193	-0.0726638	-0.020854017	-0.008298377	0.056242354	-0.11855804	0.19696486	-0.01733024	-0.11899835	-0.08193329	-0.06025954	0.038242295	-0.07355235	-0.0719699	0.06224057	0.05201426	0.10651746	-0.06812107	-0.0057709683	-0.09193039	0.106878884	0.03715128	-0.06780362	0.0017206317	-0.10907776	-0.0051837936	0.04911085	-0.14691383	-0.10317911	-0.13569456	0.043394983	0.12979469	-0.14757279	-0.026169669	0.037859708	-0.079014435	-0.2021479	-0.027603377	0.18155864	0.040653724	-0.06607841	-0.031770486	0.04662922	0.14535266	0.15980639	-0.11256535	0.0024634977	0.048472285	0.021661736	-0.22547962	-0.11569483	-0.1280754	0.16087575	0.00469568	-0.060840152	0.00033200718	-0.098354444	0.00027017656	0.21878459	0.04853459	0.026772333	0.109103136	-0.06221795	-0.029173795	0.07543812
ENSG00000136636	-0.08792597	-0.048306078	-0.0048787016	-0.004414333	-0.08367239	-0.041711874	-0.037311103	-0.09336592	0.05327161	0.06486964	-0.124684185	-0.062461898	-0.02047681	0.08884234	0.07228997	-0.04147585	-0.051119458	-0.059465848	-0.004511158	0.02220877	0.034113646	-0.071350515	-0.19863796	-0.016486267	0.022880655	0.08188352	-0.027654054	-0.08031535	0.110640325	-0.061410464	-0.052965663	-0.079315335	0.09802124	-0.060929447	0.10486659	-0.039032813	0.050091848	-0.11735326	-0.0901129	-0.028722428	0.021111865	-0.030399833	0.026074223	0.04502221	-0.059823006	0.05934885	0.006580719	0.005796207	0.08641499	0.05591736	0.02075179	-0.10881311	-0.08092535	0.021215824	-0.037929937	0.010430898	-0.15035585	0.050271787	0.006143896	0.071079776	-0.1732864	-0.0324243	0.08320288	-0.008963456
ENSG00000118407	0.3162681	-0.069229886	-0.41822523	0.052766092	0.1688196	-0.321381	-0.20354286	-0.050289612	-0.17923099	0.11273572	0.24702474	0.20879856	-0.057187017	-0.30169082	-0.14805153	0.24305756	-0.36794952	-0.77957594	0.6938975	0.5193263	-0.019127507	-0.0690375	-0.40680426	0.5050562	-0.051849052	0.44538686	0.25195733	-0.21716589	-0.42910972	0.37124714	0.1294328	-0.45941967	0.31948537	-0.048171617	0.19964844	0.1605371	0.28972772	0.096793085	-0.120582804	0.21136893	0.24620771	0.84156	-0.12003164	0.347275	-0.019904193	-0.55839986	0.13849217	0.49043486	-0.2884947	-0.16379206	-0.15808809	-0.044626813	-0.33070007	-0.4970905	0.68880665	-0.26499027	-0.18073574	-0.13658278	-0.11479072	-0.5407432	0.3609093	-0.1275258	0.021861807	0.30258578
ENSG00000132600	0.25772515	0.16709581	0.06174609	0.00034568273	-0.12559287	0.0276737	0.10774347	-0.17757015	-0.04360966	-0.14350794	0.05180721	0.0345616	-0.18043524	0.16112293	0.042228848	0.13724852	-0.11843587	0.023968585	0.12612177	-0.120740585	-0.088191	0.035999056	0.09666193	-0.24586748	0.08402642	-0.014470997	-0.23594536	-0.22821751	0.09348035	0.016676096	0.015749417	0.09003593	-0.056068607	-0.08162902	-0.00490541	-0.2456504	0.31796804	-0.029212728	0.13522597	-0.16609535	-0.07272785	0.17768508	-0.24131893	0.16577195	0.04965884	0.11153253	0.043671552	-0.06899688	-0.26955777	-0.043826185	0.0158697	0.020489078	-0.16399604	0.017104153	-0.23051804	0.16305694	-0.26552612	0.10411748	-0.093466714	-0.010673376	-0.024378745	-0.13107379	0.11885444	-0.04608768
ENSG00000235443	0.07238616	0.04626976	-0.07181004	0.07446217	-0.039191626	-0.028739568	0.042732336	-0.06538522	0.060927972	0.009577634	-0.041741543	0.04785993	-0.08629392	0.07267994	0.03322514	0.014095591	-0.085592695	0.04432857	0.029483765	-0.059679136	-0.0018314514	0.028534312	-0.05218907	-0.05810675	-0.060008287	0.008743719	-0.026415357	-0.05934461	-0.023366718	0.055445522	0.09740075	-0.034207713	0.020695947	0.051192675	-0.04087142	0.0017184447	0.13543326	0.06122678	-0.11768943	0.042078804	0.044786498	0.10451762	-0.060016703	-0.020874567	0.072625384	-0.073971316	0.038214557	0.039129354	-0.08558878	-0.064918004	-0.04192737	-0.034707535	-0.090681985	-0.08620247	0.0026722434	0.032152522	-0.052955654	0.096975274	-0.032296456	0.006274078	0.03056447	-0.12194462	0.017307568	0.016010147
ENSG00000071205	-0.03621141	0.20449127	-0.07402712	0.08806836	-0.027808212	-0.049562477	-0.08605647	-0.07288535	0.09688926	0.13846342	-0.1322613	-0.07493473	0.0855449	0.056692168	0.086587876	0.24366468	-0.020602725	0.043295912	0.088872395	-0.112488754	0.07027196	0.26700252	0.024658825	-0.049872365	-0.18504402	-0.037088495	0.069353014	0.07281783	0.05124008	-0.030032681	0.08911915	0.044175457	0.11757205	0.09987767	-0.11948292	0.019887153	0.14208926	-0.013445348	0.03327614	0.13204472	0.02757053	-0.0059897033	0.061735846	-0.11366847	-0.10079408	0.13332537	-0.012762096	0.009418363	0.084103934	0.06502783	-0.26548448	0.013290844	-0.16005474	-0.2205095	0.096409	-0.10319881	0.04595401	-0.20748568	-0.19401476	-0.023824777	0.15249668	-0.24547105	0.007038835	-0.085514136
ENSG00000105974	-0.103973344	0.0036649946	-0.051360555	-0.037647836	-0.051524322	-0.14457089	-0.10050479	-0.073173866	0.12074089	0.013057843	-0.21953376	-0.01238808	-0.04142564	0.22584215	0.1379515	-0.029820696	0.0003052256	0.057229556	0.03244828	0.038089424	0.06865017	0.0123317	-0.18076707	0.035423085	0.15894574	0.21131264	-0.09539541	-0.0749695	0.078170985	-0.028866714	-0.100065865	-0.021214914	-0.030995693	-0.2017426	0.05816842	-0.1444369	-0.013847526	-0.03444719	-0.1695589	-0.021681804	0.056939043	-0.13950992	-0.008421604	0.06096173	-0.28578585	-0.0009797751	0.052616946	-0.013844488	0.066853784	0.18120795	-0.021814391	-0.11672312	-0.07793567	-0.080007054	-0.09309796	-0.09379028	-0.024973307	-0.037637714	0.045036267	-0.025073841	-0.28307927	0.06697375	0.0009212787	-0.07737166
ENSG00000139645	0.104973376	0.015654353	-0.21896349	0.16584556	-0.09560653	-0.10406878	-0.032544024	-0.07000046	0.05519674	0.08341077	-0.12071994	0.28054732	-0.11107728	0.055919923	0.08199923	0.20946765	0.11135317	0.0044890046	0.07358717	-0.2688574	0.11409634	0.092181146	-0.05829781	-0.047598887	0.071206994	0.10790948	-0.012891488	-0.18811181	0.06388894	-0.0225429	0.12607184	-0.060624648	-0.040121526	0.003274791	0.004959911	-0.19538045	0.024079721	-0.00863516	-0.121407345	-0.13923585	-0.08941275	-0.002786302	0.107556716	-0.020434387	-0.032138586	-0.013491925	-0.048856173	0.10104695	0.05938534	-0.02431068	-0.083371885	-0.100033425	-0.09483914	-0.13861519	0.026937427	-0.011321732	0.122814156	-0.01584581	-0.048497364	-0.1256152	-0.092940696	-0.008092522	-0.05801749	0.027621135
ENSG00000134759	-0.017861841	0.039864235	-0.02062616	0.2910436	-0.26102614	-0.1830288	-0.03533654	0.08692072	0.17998423	-0.10649134	-0.11885689	-0.08991364	0.22778086	-0.057349376	0.0062742047	0.08726374	-0.00959	-0.26055235	0.34831852	-0.06010268	-0.10996325	-0.29655975	-0.24194288	-0.10084354	0.1641706	-0.21461008	-0.09646494	-0.16469663	0.14646153	-0.04656902	0.06771739	0.022063736	0.36105403	-0.089844525	0.26467532	7.449463e-05	0.10189928	0.19748098	-0.039804883	-0.07686529	-0.3731203	0.00025298726	-0.31082997	0.17461668	-0.20712337	-0.05523604	-0.24339603	0.06547746	0.15944153	0.08066415	-0.028178342	0.086588696	0.07869061	0.15062493	-0.07226947	-0.15680926	-0.13443676	0.3756093	-0.16751285	-0.06014315	-0.0062247384	-0.26519272	0.11407816	-0.1473457
ENSG00000235941	-0.054046117	0.17198685	0.00100798	-0.061969668	-0.09760551	0.19838898	0.017608868	-0.09178041	-0.010069184	0.08892618	-0.059230477	-0.087131254	0.08336753	0.0012959247	-0.20504151	0.3041302	0.066890754	-0.076393366	0.053676873	-0.027603835	0.08043929	-0.13322026	0.047876526	0.10672775	0.10525048	0.20581286	0.31371382	-0.20522967	-0.10282387	0.1017034	0.15668127	0.11260761	0.023342628	-0.07698892	0.10656453	-0.0554117	0.03688398	-0.06883682	0.07363289	-0.019447606	0.20329063	0.22355446	0.06317017	0.0990632	-0.17808427	-0.05791325	0.107214615	-0.14136423	0.06407289	0.16594398	-0.17350183	0.061745565	0.4049173	-0.092553325	0.22248888	-0.15376356	-0.05907443	0.117507	-0.18197253	-0.10817554	0.035520487	-0.081558965	-0.06380653	-0.12897666
ENSG00000198099	-0.025475597	-0.20924908	-0.24846037	-0.0659237	-0.07699442	0.008244267	0.010710377	-0.13693623	-0.039398607	0.25076786	-0.11813192	0.25023627	0.32335705	0.19641192	0.21248095	-0.04082464	0.67525345	-0.4908771	0.4692003	-0.035638027	0.08592873	-0.12811077	-0.1153601	-0.027323194	0.4594394	0.34844995	0.13920273	-0.083258554	0.01659924	0.02884045	-0.398901	0.03295237	0.06447993	-0.015117821	0.015495897	-0.087811604	-0.03325415	0.50293	-0.0188122	0.27468833	-0.07576362	-0.11206963	0.27729946	0.30118057	-0.4802304	-0.1643147	-0.11923	0.19959305	0.13515458	0.1546489	-0.31141344	-0.19962052	-0.027792867	-0.24573481	0.42352134	-0.26563948	0.07299023	-0.09309755	0.18171705	0.027412536	0.14421321	0.28116554	0.25068295	-0.006794447
ENSG00000148942	0.084508516	0.028684717	-0.15365137	-0.08391016	-0.13222267	0.14372072	0.026627958	0.12948172	0.15434034	0.19845687	0.023809562	0.008745062	0.1346354	0.028628722	0.28262478	0.16528499	0.38296664	-0.08282983	0.24133046	-0.25872737	0.08059354	-0.12383285	-0.10171164	-0.081207	0.08348306	0.12885313	0.14957117	0.039458424	0.06794336	-0.010547278	-0.10833707	0.054868404	-0.049760446	-0.07252906	0.069600776	-0.032578997	0.29615548	0.26355582	-0.044369597	-0.25374395	-0.0806367	-0.08973568	0.17510667	0.019931857	-0.19873978	-0.16076435	-0.12944652	0.097441964	0.118218206	-0.056106523	0.029248938	-0.09764032	-0.16158015	0.026623402	0.09945638	-0.1387029	-0.1589069	-0.044550393	-0.0022303928	-0.02143329	0.090287514	0.09607128	-0.0088145435	-0.14285024
ENSG00000184995	-0.016631808	0.09651134	-0.002388732	0.17616664	-0.027544672	0.01781469	0.16092312	0.058629263	0.08140971	-0.020441968	-0.15049908	0.22272949	-0.093994364	0.021662064	0.13431695	-0.15810452	0.233043	-0.30976996	0.12877406	0.02806775	-0.045310106	0.108491756	-0.07843885	0.044740338	0.34945783	-0.3427689	0.20539218	-0.009044725	0.3396491	-0.1155427	-0.09661586	-0.060346726	0.04482245	0.072515324	0.013310316	-0.25308597	-0.06771885	-0.054019894	0.02864109	0.10717929	-0.06482949	-0.057745665	-0.00014077779	0.177461	-0.11011459	-0.102347456	0.0019754134	0.2501426	-0.112083	0.08640605	-0.12762506	0.043104358	0.11606658	0.0074889977	0.05829543	-0.10340701	0.27982745	-0.014941547	-0.24028489	-0.044612005	0.10113895	-0.05563239	0.15026572	-0.27610075
ENSG00000068028	0.016363436	0.10715432	-0.041288543	0.049284235	0.035635117	-0.030735027	-0.03647307	-0.12118149	0.033920176	-0.027219124	-0.018564308	0.032955147	-0.075850226	0.08627187	0.055230394	-0.007080823	-0.06485541	0.10079494	-0.0015520845	-0.029382724	0.038306423	-0.0056449277	-0.0022351912	0.009213313	0.0031324476	0.0601239	-0.07765387	-0.065912426	0.052827	-0.004875295	0.065176785	-0.058982976	0.0063576684	0.0064895786	-0.005570978	-0.040612992	0.07620555	0.0019689873	-0.116904624	-0.0374296	0.022850174	0.004390236	-0.04121862	0.007094465	0.010298494	0.019163888	-0.016884122	0.04469403	-0.019233715	0.029462736	0.014564582	-0.07678346	-0.051772308	-0.02150675	-0.06426263	0.03764233	-0.005095229	0.06337303	-0.0066349953	-0.030239832	0.01599534	-0.052593604	-0.00042333733	0.024147637
ENSG00000143416	0.07773888	0.094908565	-0.17221378	-0.1113744	-0.07876727	-0.0830104	-0.024018478	0.06632118	0.24409007	-0.07797229	-0.12946472	0.50147134	-0.07673299	-0.101535074	0.025853023	-0.08168101	0.2861977	-0.47353768	0.17680298	-0.08157914	-0.11931287	-0.24253027	-0.22993411	0.039917648	0.44131947	-0.12289647	-0.106194146	-0.19410941	0.014260611	-0.060493596	0.106376156	0.15518261	0.103057794	-0.15982008	-0.24803738	-0.50142837	-0.14079137	0.24312693	0.23575462	-0.08464803	0.11481539	0.25620085	0.08464594	-0.06361256	0.059491325	-0.21899219	0.069976956	0.18325965	0.028965857	0.18784934	-0.027042463	0.08576277	-0.022332054	-0.13650042	0.16683823	-0.1384443	0.022351075	0.14597861	-0.04926826	-0.15228106	0.2852285	0.11546544	-0.09818197	0.13363075
ENSG00000146587	0.2884122	-0.2242431	-0.004458906	0.3891892	0.22251801	0.2650704	0.1682128	-0.1250932	-0.050821017	-0.6422891	-0.09121003	0.5028834	0.04096705	0.2028428	0.2156346	0.051789954	0.43350974	0.0061473995	0.80020607	-0.8150736	-0.52428997	0.7015073	0.079458684	-0.41751987	-0.062506706	-0.2385849	0.15800199	-0.44685432	-0.2964239	-0.5534135	-0.11385562	0.33254418	0.057518933	0.28246817	-0.26083243	-0.74695665	0.6566064	0.20672718	0.18201298	-0.22147946	-0.34644893	-0.20660867	0.053837366	0.6024988	-0.11215173	-0.21778896	-0.36801678	0.09267278	-0.28400198	0.17673051	0.083456025	-0.11905812	-0.027249351	0.11047938	-0.27776933	0.11490859	-0.66875964	-0.24514624	-0.2752986	-0.48683766	0.41696373	-0.6657433	0.1788162	-0.5245445
ENSG00000123143	-0.16361181	-0.014165463	0.003651081	0.22452354	-0.17410123	0.033247247	-0.041529085	-0.13767125	0.014689755	0.34050438	-0.14393243	-0.14687276	-0.1732327	0.3556686	0.16842595	-0.16853733	-0.094865315	0.02319755	0.046817273	-0.1665332	-0.18445921	0.0435213	0.02296164	0.0967311	0.16456959	0.25908542	0.08082575	-0.15540615	0.33275142	0.034851745	0.0030283593	-0.09205079	0.05416026	-0.10802929	-0.00087668747	0.1519582	0.18442488	-0.008216433	-0.18068746	-0.09083874	-0.026916083	0.03657205	-0.051858842	0.03290874	0.005751459	0.07030251	-0.037874747	-0.03985045	0.029810656	-0.04869806	0.02273884	0.052724432	-0.21713138	0.027780116	0.016494086	0.034122523	-0.09902559	0.052697986	-0.026395356	-0.07688347	-0.17700996	-0.10325267	0.16670696	0.08610772
ENSG00000108175	-0.19790334	-0.19750632	-0.18756387	0.20374379	-0.0495924	-0.26777413	0.05860164	0.1976363	-0.0030288864	0.17763413	-0.13089266	0.30146188	0.011821892	0.21626718	-0.31308362	0.27544123	-0.010716407	-0.11265978	0.13709468	-0.08042079	0.21354339	0.22333336	-0.11018372	-0.13008577	-0.1265544	-0.14211898	0.17731923	-0.15547834	0.0023378786	0.15518819	-0.20355138	0.001828976	0.33439103	-0.06465218	-0.074806936	-0.028368901	0.07873362	-0.1491339	0.2291706	0.03717594	0.21077704	-0.21439648	0.17853032	-0.115660645	0.08726749	0.114142545	-0.027523797	0.24757053	0.11183987	0.071605794	-0.39809278	0.22013764	-0.27604222	-0.0010145907	0.027186671	-0.15947601	0.08680765	-0.0022063814	-0.32099822	-0.20333496	-0.04904426	-0.10245629	-0.2909758	-0.07615443
ENSG00000163947	-0.9465554	0.11558883	-0.05844997	0.13459136	-0.7701847	-0.32388407	-0.3724507	0.8891026	0.026044797	0.49522296	0.38927394	0.022833966	0.37429786	0.007877564	0.12509601	0.49761546	1.1290743	-1.4815626	0.32778257	-0.056995638	0.94402856	-0.47871724	-0.92738235	1.1110578	0.36817685	1.1548696	0.06567318	1.2426653	0.5945316	1.1131476	1.0801433	-0.8721734	0.19433296	0.40949467	0.07363882	0.02557601	0.18377906	0.15325938	-0.34536883	0.42845425	0.5172573	0.9538343	-0.35308427	0.4350869	-0.8679935	-0.2552467	0.91279674	0.10300332	0.02264088	0.38973454	-0.08227695	0.6258453	0.42959496	-0.3293831	0.8544812	-0.6754484	-0.36670724	0.40454984	0.06675695	0.349926	0.16520233	0.05993089	-0.13928026	0.7504811
ENSG00000151465	0.04807175	-0.0106261205	-0.009713961	0.062767185	0.052040797	-0.12676682	0.024792328	0.08240311	0.07404059	0.030560225	-0.014033424	0.0039012763	-0.11519781	0.024495877	0.0051439293	-0.11283733	0.018881593	0.00956434	-0.0041423016	0.008909142	0.022946116	-0.029856201	-0.0008126811	0.024210062	0.19436827	-0.024383321	0.010701202	-0.053708103	0.0830531	0.042803437	-0.0075637903	-0.018499497	0.035448384	-0.026732478	0.11837231	-0.030239495	-0.052955907	-0.07524228	0.022144338	-0.15518509	0.092238486	-0.11925095	-0.016802102	-0.03160788	-0.034897823	-0.09231305	-0.027798187	0.061605886	-0.058750883	0.07721701	-0.12317115	-0.046016615	0.11029455	0.03996946	0.10740995	-0.029758994	-0.03511816	0.14306262	-0.098676994	0.012958279	-0.13472684	0.045070432	-0.020482996	0.084476836
